1698581552# #会好好照顾你们两个的。
1695356504# #好的。
1694474850# #转发微博
1690020451# #嗯
1694254391# #对于Lisa要去法国疯马秀表演这件事，我微博首页目之所及大部分是痛心疾首、扼腕叹息，说她媚男、媚白，不女权，带坏粉丝；个别表示无可厚非，但是出发点也让我有点莫名，说她在专门的色情场所表演，反而是告诉粉丝色情的边界。我都完全不能理解。两性间相互吸引是本能，吸引异性也是本能，人的情色欲难
1694727372# #转发微博
1692447877# #想着能扭到悟空就好了，果然一击即中。晚上的局不知怎么就变成患者交流局，姐妹们原来都经历过这样那样的病痛，还有二十几岁的癌症愈者，但是我们还是为了美好的事情聚在一起。这个世界值得。
1698378109# #完美
1693710225# #李安好细腻也好会表达啊。伟仔忽然变得很慈祥，这个Tony也喜欢。
1696770048# #笑死，去得不多，现在都这么玩儿的吗？
1703907838# #日韩那边也一样，是宝儿和仓木麻衣。店主这个纸币用法极妙。出门看见真维斯和以纯，我20岁不能更多了。
1694313532# #这里感觉线也不是太弱，他两脚距离近，更费力。
1691335525# #转发微博
1698580739# #美产吉娃娃，好形象的比喻。
1704033156# #转发微博
1693736884# #能扒到憧憬
1693828562# #笑死
1703487398# #转发微博
1694866606# #高烧中的周末观影冲动是重温《史密斯夫妇》，两人太好看了，性张力拉满，配乐非常喜欢。大女儿真是他俩完美的结合，优秀的基因就应该延续。“你就像圣诞节的早晨。”离婚了意难平。
1703905863# #音像店仿佛时光机。不知道为什么收了张《黑色柳丁》。
1689825495# #这个宇宙里没有什么事情能抵抗热力学定律，一切都将归于寂灭。过程就是全部的意义！
1687128449# #广末凉子你可是女明星啊！看起来丈夫完全不能接纳你的情绪，也不能提供支持，记者会本身和会上的表现更说明了这点。
1696504803# #今日份天地日月之精华这个地方应该能赶海。买奶茶是因为两个小娃娃放歌陈慧娴王菲王杰三连，没想到料好足，放了悠悠、刺梨果干，还有玫瑰花和小饼干。
1703506553# #又买了一件黑标同款不同色，发现改版了，袖子没那么长了。哭泣。
1693571781# #终于入手了
1687075953# #灌篮高手应援场比预想的还要燃。
1703160979# #今天太难受了。同事孩子病了在北京，我给她打电话，一讲话她就泣不成声，但是还是坚持和我交流，我说好了咱不说了，你啥事也别管，我先办，办不成咱俩再商量。她抽泣着说“我太压抑了。”虽然交往不深，但我知道她和我一样是向内寻因的人，不给别人添麻烦，兢兢业业做好自己的工作，今天能在电话里说出
1691932324# #转发微博
1699356083# #看完这个更气了有的人就在坑里。
1687180444# #广末凉子的事让我目瞪口呆，好想派张雨绮过去劈这个烂男人。
1702362397# #看眼科错过了之前的大夫于是今天挂了专家诊，一进去是位年轻男士带着两位更年轻的女实习生，和中年女专家完全不是一回事。感觉我应该直接挂实习生。
1696498705# #陆鲸。
1700188765# #喝茶有茶宠，上班有班宠？
1687616372# #转发微博
1699754598# #同感
1695852396# #转发微博
1694957281# #我爸以前科里的一个小伙前几年跳楼了，我小时候感觉他帅帅的憨憨的，和另外两个小伙不太一样，怎么这么早就为这么点事扛不住了。一个船东伯伯，买了新船破产了，财产强制执行，现在租房子住，员工讨薪，自己和爱人都生病了在复健中。以前多么威风的人。船东的兴衰我跟着看了很多，能善终的很少，以前我
1702084309# #这个韩国贵牌小袄四年前代购价格不菲，特别喜欢但是没穿过，后来去北京也没带着，去年回来发现已经打折到一千块钱，今年估计计提折旧为零了。今天给开个光。
1703942086# #打车和师傅说我晚上去看表演，师傅说去看二人转啊？我说去看单人转。见到了传说中的史妍，完全不能明白笑点，不仅没意思，内容更让我目瞪口呆，扭捏的表情，猥琐的眼神，低俗的素材，居然说麦银是女生在享受，用剥夺政治权利类比婚后不能恋爱，最有趣的是好梦，史妍是让我生理不适的程度。
1700403724# #现在还会在KTV唱，大家纷纷表示没听过。罗百吉能来就好了。
1704029718# #我也喜欢《蝴蝶》。
1697969864# #转发微博
1688648731# #喜欢这样的女孩子。
1700363146# #转发微博
1694911674# #哦！
1696133699# #同感
1700664959# #今天防御工作压力的方式是穿了一套黄色的内衣（肤色上班专用内衣我大概有100套），又戴了一双略夸张的金球耳坠子。防御有效。
1689340607# #炎之男大旗永不倒。
1696227280# #不是
1696685566# #转发微博
1703349977# #转发微博
1687414204# #因为不想出门今天的计划全部推到明天，但是去菜场做补给的时候想吃的海鲜傍晚才能到货，又要多出去一趟。shit。
1687399845# #这句话说在了点子上。
1691635089# #最近收到了一些叮咛和嘱咐，都记下了。
1690984291# #转发微博
1687128615# #就是背靠大树，不想金主走，但是他对金主太不公平了，连家务都不做，还要嫌要养三个孩子的金主不化妆
1688567257# #我这排第一的是《好想见到你》和《过完冬季》，谢谢你带来过的美好。蜡烛
1688807127# #全方位可爱
1694444464# #张口闭口是男凝，难道没有女凝吗？哭着喊着“男菩萨”的女粉，难道不是喜欢男idol的肉体吗？自称梦女，或者建设同人，不就是意淫吗？说带坏未成年粉丝，我请问怎么带坏啊？裸体上街吗？那不如把坎爷先抓起来。对Lisa骂声一片，说到底还是对同性太苛刻了，变相荡妇羞辱。
1696217312# #所以还有人和我想的一样
1694751761# #awsl
1693137016# #他真的是在代入角色
1690594646# #转发微博
1694041153# #转发微博
1690813936# #永定河，也叫过无定河，整个北京城都是永定河来回摇摆冲积出来的
1699784855# #图发不了，部分店铺商品详情和新品无法查看。
