1612246621# #其实我想分享一款太赫兹理疗仪，但不擅长直播笑cry
1671166870# #病了才知道免疫系统有多努力。每个人的身体里都住着一位霍去病。。每个人的心里都住着一位汉武帝或宋真宗。。。看你是想做协助霍去病杀敌的汉武帝，。还是想做澶渊之盟的猪队友宋真宗！
1603342612# #作揖
1639837568# #生命不可能有两次，但许多人连一次也不善于度过。——吕凯特出道吧新星
1639880959# #和你一同笑过的人，你可能把他忘掉;但是和你一同哭过的人，你却永远不忘。——纪伯伦。出道吧新星
1602728340# #这种装扮不是唐朝大臣的穿着么？
1660354701# #疑似丰田碰撞起火车门锁死。这已经是第二起丰田车因碰撞锁死车门事件，这种情况下就别指望开车门了。尽快将车玻璃砸开。
1612154692# #有一种好家风，叫遇事不责备。作者：两忘机。。理直也不要气壮，得理也要饶人。。。网上看到一条道出无数婚姻悲哀真相的新闻。。杭瑞高速路上一女子无助地坐在车中哭泣，。而她的丈夫却在高速路上暴走。。。原来，。女子当天和老公从杭州出发准备回安徽老家。。。因为妻子第一次在高速公路上开车，驾驶水平不是很好
1587953100# #教育部不建议占用假期补课难道新冠病毒都打不过应试教育吗？硬气点别建议直接强制doge
1633845405# #你所不知道的班主任！。。社会变化日新月异，中小学教育也在发生着变化，学生们的个性变得多样化，教育的难点也层出不穷。虽然很多年轻人依然愿意走上教师岗位，但是班主任难当、不愿意当的现状却越来越普遍了。。。中小学班主任工作是学校管理工作的重要组成部分，班主任起着很重要的作用，但是很多老师宁
1635379986# #古人留下的六副后悔药，值得保存！。。任何事没有如果，只有结果和后果。。每个人都必须为自己做过的每一件事承担责任，因果不虚；举头三尺有神明，慎独。。。北宋名相寇准有《六悔铭》，。教后人要及早觉悟、悔改。。。六悔铭。。官行私曲，失时悔。。。富不俭用，贫时悔。。。艺不少学，过时悔。。。见事不学，用时悔
1614404239# #红尘中人难脱离春节追剧王。
1607874081# #网暴者阴暗怯懦
1640531722# #武则天醉酒后随口给一小国赐名，。一直沿用至今！。。中国山河壮丽，幅员辽阔，在历史长河中，中国文化曾影响过周边许多国家，对它们的历史和文化造成了深远影响。。。作为一衣带水的邻国，日本早在东汉时期就开始派遣使者到中国觐见。公元57年，日本九州派遣使者来到汉朝请求光武帝刘秀赐国名。刘秀给日本
1607941536# #飞雪连天射白鹿，看来不止我一个嘻嘻。
1607898832# #农民翻了身，比地主还狠嘻嘻
1588381244# #律师在法庭上为委托人辩护，是他的职责！但是，不在法庭上，他仅仅是普通的社会人，他的行为受到社会道德的约束！
1613800301# #真是太玄幻了。春节追剧王
1608270009# #师范生比法律生强
1635075672# #日本即将沉没，中国这两个地方也在“下沉”，其中一个不久后或消失。。。看过美国灾难科幻电影的朋友们都依稀记得《2012》里那天崩地裂震撼人心的灾难情景。其实在现实生活中这类有着强悍杀伤力的自然灾害也普遍存在。这些或归因于地球板块移动，或因为气候问题出现异常。自然灾害一直在威胁着大家的生命
1608030769# #支持专业的人去做专业的事
1630211098# #唐宋元明清，换了人间。。还是做个单身狗吧喵喵。
1590710373# #南卡罗莱纳州，川普的支持者们开着游艇，搞起了“MakeAmericaGreatAgain”主题游行。看来川普的支持者还是很多，因为川普很注重民生工程，尤其是股市一直上涨让90%的美国人都享受到了红利。美国经济
1590766411# #日本风格古典美女。
1629703046# #好主意。尤其是女贪官笑cry
1589034184# #转发微博
1608434518# #说的也有一定道理。
1603083003# #六朝何事！
1627728275# #爱江山更爱美颜嘻嘻
1602834465# #别说中间那位长的还真有点像齐白石嘻嘻
1669681343# #可怕的权力欲！。。疫情久了，。连小区的流浪狗都觉得自己是警犬了！。幸亏只是个别。
1614380755# #看过一篇文章说，。你买了比特币后，。有人就知道你的账号有比特币，。比特币只是代码，。然后那些黑客会让你知道，。你的比特币不再是你的比特币。。。不知是真是假经济
1590642579# #goodgood
1603420612# #足球玩成了橄榄球嘻嘻
1591571391# #虽然那个时候穷，但演员是真心热爱表演，六小龄童为了练眼睛盯着乒乓球看，游本昌拍济公是真挨打，吃的还是变质的食物，你别看他吃得香，其实可难吃了。
1611806210# #首趟春运列车出京：。上座率仅22%，铁路客流预计降4成！。。1月28日0：48，2021年春运首趟出京列车3603次列车从北京站发出，将于次日4：03到达重庆西站。这趟列车额定载员1274人，实际乘坐旅客280余人，上座率约为22%。。。虽然春运客流大幅下降，但北京各大火车站仍将严格落实常态化防控制度。一是严格落实
1608714341# #类似于流感疫苗。接种上肯定管点用。第二年再研发新苗。
1652889882# #许静韬与电梯赛跑。疫情封城快把人憋疯了，但保证了人民群众的生命安全，值得。病不S，也一定不能叫人饿S。和电梯赛跑很有创意，跑的很快，人也很帅，解封快乐！
1582286159# #goodgood作揖
1587857313# #日本女子高中生图鉴。我们的高中生整天灰头土脸，连洗头的时间都没有。日本高中生可以化妆真好，每天都可以漂漂亮亮开开心心的上学（不喜勿喷）
1630161231# #局长与女职员一起下乡釆访，见农户有一窝小狗长得十分可爱，于是和女职员各要了一只。局长要的是公的，女职员要的是母的。。。局长想占女职员的便宜，。笑着说：＂今晚一公一母就住一块吧。＂。。女职员说：＂可以啊，要是我那小狗怀上了，我就对别人说：＂是局长那个狗日的＂！
1638858600# #外戚乱晋！。。杨芷代替表姐杨艳嫁给晋武帝立后，杨氏家族更加飞黄腾达。而晋武帝在位晚期，由于天下太平，无事可忧，于是晋武帝也变得“不复留心万机，惟耽酒色始宠后党”。。。虽然有大臣对晋武帝说其老丈人杨骏小器，。不可以任社稷之重，但终不被武帝采纳。。。借着晋武帝的专宠，杨骏与其弟杨珧、杨济，
1654531250# #美丽世界有我一个绿水青山就是金山银山。。。纯净的蓝天，清澈的河流，清洁美丽的世界有你、有我、有我们每个人的努力。来微博打卡低碳生活，记录美好环境，参与环保议题讨论，共建清洁美丽世界！
1639363347# #谁和我一样用功，谁就会和我一样成功。。——莫扎特读书笔记
1614998902# #道医让你不生无妄之病，。道商让你不生无妄之灾！。。大道至简，道法自然！。这就是人类最大的智慧！。。从今年开始每年要做99件善事，。交99个真心朋友。。。天雨大，不润无根之草，。道法宽，只渡有缘之人！。。做自己想做的事儿，。见自己想见的人儿！。人生的智慧最终都是极简！。文化
1582358933# #大美林芝。圣地墨脱。文化旅游
1607594569# #曹操能文能武，才情诗文也不错。史书对其有些误会。
1608356803# #此举方便人民群众
