1703687668# #赖皮寮结界风水阵被破？
1703919311# #台湾"大选"候选人辩论会12月30日登场赖侯柯为攻防积极备战武统超话
1703930558# #波兰称一枚俄罗斯导弹入侵领空，俄方反怼：你没证据瞎说武统超话
1703694026# #武统超话
1703602460# #屏东议长周典论被羁押禁见，赵少康质疑是威胁郭台铭不要支持侯康武统超话
1703942990# #侯友宜举牌抱轰绿「10大失政」呛赖清德不管新北疫情、只关心老家
1703651596# #第四艘航母叫什么名字好？~
1704019856# #转发微博
1703579498# #耶诞夜全美大暴动拜登惨了郭正亮：拜登是异想天开~
1703602068# #武统超话
1703841926# #伊朗外长：哈马斯称还能对抗数月仅丧失14%的抵抗力武统超话
1703841759# #【以色列士兵在加沙民房前抓鸡】12月26日，巴勒斯坦圣城新闻网转发了一则视频。一群以色列士兵在加沙一片被炸毁的房屋面前抓鸡。（一审：李青二审：贺齐三审：丁兴威）武统超话
1703601701# #印度逮捕vivo分公司高管谢寒冰：这个国家根本不跟你讲理武统超话
1703680504# #回应“凯旋苑争议”侯友宜妻子公开信发声：将改为社宅或青年房舍武统超话
1704016117# #转发微博
1703746862# #菲学者:我们被美国当作了棋子菲律宾人不想与中国发生冲突武统超话
1703769255# #民进党打诈督导中心主任请假长达142天。孙大千:诈骗集团又没有放假武统超话
1703602190# #汪文斌点赞叙利亚小伙支援甘肃震区：这是一场爱的双向奔赴。武统超话
1703938858# #柯文哲酸赖清德「示范诈骗」喊话选民：同时下架蓝绿！
1703613934# #吴子嘉预测赖侯差5-10万票他叹柯妥协新潮流弃韩国瑜
1703932339# #ECFA恐将被中止，民进党称要上告WTO蔡正元：告了正好被打脸武统超话
1704019844# #转发微博
1703601412# #以色列外长指责联合国“虚伪”拒绝向联合国工作人员发放签证“我们将停止与配合哈马斯宣传的人合作”武统超话
1704008070# #据日本《读卖新闻》11月23日援引朝中社消息报道，朝鲜国防省23日发表声明，就2018年签署的《朝韩军事协议》表示，“从现在开始，我军将不受其约束”，并表示“将立即恢复因上述军事协议而暂停的所有军事措施”。朝鲜国防省的声明说，“将在军事分界线地区部署更强大的军事力量和新型军事装备”。声明还
1704016804# #转发微博
1704008973# #批民进党拉2300万台胞“抗中”，吴成典：要和平统一就跟着新党走武统超话
1703841066# #民进党教改全面失败陈挥文:18分可以念大学满街都是大学生武统超话
1704009152# #赖清德称台湾已摆脱对大陆依赖郭正亮：听了我都快笑出来了武统超话
1703918881# #以色列军方当地时间12月28日说，自10月初新一轮巴以冲突爆发以来，以军共缴获巴勒斯坦伊斯兰抵抗运动（哈马斯）6500万份文件和50万份作战计划、图示等。以军根据缴获的地道竖井图，多次摧毁加沙地带的地道竖井。。。另据以色列《新消息报》28日报道，根据以军在哈马斯基地发现的文件，哈马斯在加沙城部
1703679660# #日本向泰国、越南推销扇贝郭正亮：失去中国市场损失惨重武统超话
1704008934# #台湾青年：民进党倒行逆施“去中化”是去我们的根，去掉人类的瑰宝武统超话
1703841228# #“国亲合”起手式，宋楚瑜同框侯友宜喊“给你最大祝福”武统超话
1704016814# #转发微博
1703842471# #土耳其首款大型隐形无人机“安卡”-3首飞成功武统超话
1704007419# #转发微博
1703932010# #侯友宜怒批民进党"小英路线":只会造成两岸不沟通不对话不交流武统超话
1703602220# #当地时间12月22日，美国总统拜登将“2024财年国防授权法案”签署成法，该法案包含涉华消极条款。对此外交部回应。武统超话
1703664381# #对2024热点问题，大咖专家作出最直接预测
1703842663# #双语短片《时刻•中国军队丨PLAinEveryMinute》倾情呈现武统超话
1703872678# #海上冲突的真实影像：中越南沙海战，越军撒尿挑衅，中国海军九分钟击沉越舰
1703746389# #卡桑火箭：铁穹防空系统死对头，价格低到爆表，打不准更吓人卡桑火箭铁穹防空系统武统超话
1703679823# #国台办2023年最后一场发布会结束后，发言人用普通话和闽南话向大家送上祝福！武统超话
1703777601# #网呛蔡英文初中生都被割X了凶手警局比YA谯三字经打卡？
1703943982# #侯友宜安慰柯文哲「不要流泪」狠呛民进党抹黑「全奥步」
1703768731# #转发微博
1703602578# #介文汲：“台独”死路一条，务实促进统一才是台湾民众的时代使命武统超话
1704023948# #国台办呛癞缺德「破坏台海和平」
1704007527# #转发微博
1704021499# #很好笑吗？这就是台湾最“火热”的节目？
1704025357# #印度释放两名中国公司高管（最好SHA了，反正也不是中国人）武统超话
1703601330# #今天是12月26日,纪念毛主席诞辰130周年！向伟人致敬！毛泽东诞辰130周年武统超话
1703602755# #侯友宜政见会上再批赖清德“台独”主张是两岸和平跨不过的万重山武统超话
1703930161# #“连续第三个月会面”，韩媒：尹锡悦邀请朴槿惠到官邸共进午餐。武统超话
1703679612# #连续大爆炸！桃园龟山冷媒工厂大火，已致1死3伤武统超话
1703664493# #转发微博
1703918700# #新动员法将出台？数千乌克兰人被曝在华沙办护照武统超话
1703746455# #以军士兵正扎堆唠嗑，导弹转着圈从天而降。瞬间只剩下浓烟武统超话
1703769181# #2023印度石油进口，没有一笔使用卢比结算郭正亮：卢比全球支付占比不到0.1%武统超话
1703769408# #台湾地区校园喋血事件层出不穷谢寒冰：台当局对此管制几乎是零武统超话
1703679870# #赖清德上台不排除两岸出现军事冲突？国台办：“台独”意味着战争武统超话
1703930117# #造福台湾、关爱台湾！福建发布22条实施意见，苑举正：就是要促进统一！武统超话
1703785223# #转发微博
1703584448# #赖皮寮白贼灵异照现世报了？
1703746699# #观大势、识变局，为不确定的世界，寻找信心与希望，《思穃u4EAB2024》带给你不一样的“硬核”跨年。12月31日19:35东南卫视、海峡卫视思享2024，邀你一起寻找动荡世界中的新曙光，中国经济发展的新动力，指引民族复兴的新文明。武统超话
1704008047# #据参考消息网11月29日报道，在下令对乌克兰实施特别军事行动将近两年后，俄罗斯总统普京认为，俄罗斯已经恢复了全球“超级大国”的地位。普京普京：俄恢复超级大国地位俄罗斯关注俄乌局势最新进展武统超话
1703746939# #美以同天宣布大规模拦截红海上空无人机、弹道导弹、巡航导弹也门胡塞武装认领三次警告无效导弹直扑商船武统超话
1703602589# #“绿营大佬”黄金春转挺侯友宜，呼吁台湾180万农民要自救武统超话
1703842020# #扎哈罗娃：被西方“洗脑”的日本青少年甚至不知美国向其投了核弹武统超话
1703703438# #赖皮寮拆了没地住猪都笑了他突爆大料预告赖绝对倒了
1703605465# #侯友宜酸民进党「桃花党」批性骚案多:不叫「美德」
1702298542# #听说要成立特侦组~疯婆子疯了~
1703841455# #中国记者在阿根廷感受“休克疗法”：物价上涨、民众抗议，很多劳工阶层每天只吃一顿饭。预计明年一季度贫困率突破60%武统超话
1704019828# #转发微博
1704008986# #吴成典：统一对台湾绝对有好处，大陆将对台和平让利武统超话
1703680418# #“爱达穃u9B54都”号计划2024元旦首航，赖岳谦想带妻子去玩武统超话
1703596292# #ARMA3：解放台湾No1(它们忽略了火箭弹洗地是第一步？）
1703602698# #侯友宜政策领先赖清德？李永萍：民进党和国民党的关系好像逆转武统超话
1703768992# #批赖清德“牛鬼蛇神说”王金平：人要有修养一点武统超话
1703697664# #武统超话
1704007500# #转发微博
1703769061# #民进党抹黑侯友宜凯旋苑朱立伦呛：民进党只剩奥步武统超话
1703664410# #转发微博
1703779306# #武统超话
1704009254# #柯文哲质问美国不挺“台独”议题赖清德改口称是“务实工作者”武统超话
1703842219# #太危险！国外一少年拿自焚当玩乐，上半身涂满汽油并点燃，后空翻跳入湖中，网友怒斥：愚蠢至极！武统超话
1703680060# #网友最新力作改编歌曲《南都之夜》，呛“台独”爱美日害台湾网友最新力作改编歌曲《南都之夜》，呛“台独”爱美日害台湾武统超话
1704007358# #转发微博
1703746789# #美国再现枪声悲鸣！14岁男孩为争礼物枪杀姐姐，后被15岁哥哥枪击武统超话
1703941557# #侯友宜猛攻「赖皮寮」违建柯文哲被无视笑「帮打赖清德」
1703932253# #王金平否认“侯康配”与“赖萧配”差距拉大称“侯康配更热络”武统超话
1703918584# #一声巨响，浓烟四起！以色列国防军炸毁哈马斯地下隧道武统超话
1704025651# #2024新年愿望是什么解放台湾。“魔幻”2023：世界破破烂烂，中国缝缝补补武统超话
1703921159# #讽吴思瑶「快50岁不能生」杨志良否认失言：她要检讨
1703777291# #菲律宾太自不量力~
1703919539# #“雅万高铁太成功了！”赖岳谦：这简直是如虎添翼。武统超话
1703841981# #武统超话
1702449999# #2023年国家公祭日1937年，南京大屠杀唯一现场真实录像，由国外传教士秘密拍摄（更多“大屠杀视频”请点开↓或→）南京城沦陷前是什么样以国之名悼我同胞
1703746829# #杀人上瘾？猪队友？一名以色列士兵射伤数名战友武统超话
1703664373# #转发微博
1703680329# #“赖皮察”还不拆，赖清德拒不认错，郭正亮直呼“这种人最可怕”武统超话
1703606307# #侯轰赖台独阻碍和平「万重山」赖批蓝亲共:对得起经国先生吗。侯友宜政见会上再批赖清德“台独”主张是两岸和平跨不过的万重山武统超话
1703680150# #侯友宜政见会上痛批民进党与诈骗集团勾结：离人民的痛苦太远了武统超话
1703932260# #2024选举将是台湾地区分水岭帅化民呼吁：无关政党，为自己投票武统超话
1703615631# #民进党员登报骂潘训赖清德？英系头人造反屏东绿营狗咬狗
1703746997# #096核潜艇已经达到了超俄赶美的水平96核潜艇武统超话
1703852389# #赖清德批「两岸一家亲」亲中柯文哲呛诈骗：绿把我利用完就踢走
1703692831# #2抢起来了~
1703699716# #谢寒冰：美国军方在要钱
1704019809# #转发微博
1704025730# #武统超话7？
1703842266# #美方欢迎中国阻止胡塞武装国防部回应：中方致力于标本兼治武统超话
1704007327# #转发微博
1703841595# #猎鹰火箭回收，自动驾驶马斯克SpaceX武统超话
1703781506# #赵少康呛赖皮寮没捐管一堆蓝爆内参民调侯康几乎打平
1704008184# #据参考消息，12月29日，俄罗斯警告西方，如果七国集团（G7）领导人决定采取行动，没收被冻结的3000亿美元俄罗斯央行储备，那么俄罗斯将扣押美国、欧洲和其他国家的资产。俄警告西方：将扣押西方资产俄方有一份西方资产清单可扣押武统超话
1703768867# #讲述台湾人被洗脑有多严重谢寒冰呼吁：要吧真正的道理传播出去武统超话
1703615751# #86年蓝剑行动真实影像：解放军电视直播，200名战士强攻越军
1704007434# #转发微博
1703927053# #一觉醒来，南天门计划又推上高潮，国产电磁枪诞生，掌握可控核聚变，是不是穿越了！南天门计划白帝空天战机鸾鸟空天母舰电磁脉冲武统超话
1703785049# #周玉蔻心情沉重赖选情不妙
1703597037# #ARMA3：解放台湾No2(它们没有资格看到航母）
1703842308# #3D打印月球基地？华中科大发布“月壶尊”方案，基建狂魔开始动手了！武统超话
1703702266# #废死骗票？
1703841332# #乌克兰媒体：俄军向乌境内发射导弹首都基辅等多地发生爆炸武统超话
1704025160# #阿根廷的股民股市赚了100万，取出来只能买100个鸡蛋允悲武统超话
1703681166# #赖5分钟废话谈人走光造势？郭正亮笑赖连蒋经国都要蹭
1703841139# #放弃中华文化？不可能！民进党自己"媚日""仇中"别拉上台湾民众武统超话
1703866512# #流动中国新景拜登兜不住了陆2天通5高铁八纵八横快了
