1691459177# #奇瑞海外出口非常猛
1700444598# #福建人在缅北很多？
1687736941# #哈哈哈，这哥们也真是变态到家了
1701198420# #勒索团伙越来越嚣张了
1699535751# #内部有逃生按钮哈哈嘻嘻嘻嘻
1698163298# #现在乱七八糟的站队，哪有什么格不格的，就等中美两国领导人来定方向了
1691937336# #别给折腾断了，让无人机去测一下高度不就行了
1692682230# #一切都是生意，可怜
1703036348# #乡村振兴是下一步的国家重点，城市化也就这样了，不能以后没人种地
1697856319# #徐志胜说关晓彤不是以前的关晓彤了徐志胜也不是以前的徐志胜了，当然，还是那么丑
1692177951# #必然的走向，老牌芯片厂商不容易撼动，没有足够的销量，必死无疑。不如早点卖给车厂
1702558990# #这就是操蛋的地方
1693190980# #有意思
1690464631# #涵精薯蓣丸中除了补脾胃的药物之外，还有行气、化湿、消食的成分，所以并不是一味蛮补，而是强调振奋脾胃功能，所以原来消化不良的情况会得到改善。
1687438584# #宁夏银川烧烤店爆炸事故新闻发布会银川烧烤店液化气爆炸，死亡31人，十分悲惨。这个事情，我们要反思三点：。。1、为什么用液化气而不是天然气？。。2、餐厅应该强制普及燃气泄露的智能警报设备，甚至可以做到全市联网监控。。3、各种扭曲的环保政策，把炭烤逼走，是否有责任？
1694083634# #有消息称，高通、联发科明年会砍单，加起来6000万个订单，那就是说，供应链生态预测2024年华为手机的销量增加6000万部。华为手机在2019年全年发货超过2.4亿台，2022年华为手机销量2800万台。这样看，大家预计2024年华为手机销量至少是8000万台以上。2025年，华为手机有可能杀回2019年的销量水平。
1699186785# #那自有林木啥意思笑cry笑cry
1699236286# #其实，温铁军说的挺对的，我们没必要过度城市化，而是应该集中精力打造优秀的小城镇。小城镇生活成本低，居民幸福指数高，抗灾能力强，还能绵延文化传承。城市化，看似更加文明，实则社会高度原子化，很多文化传承就断了。现在，太多家庭已经没有农村亲戚了，城里的亲戚模式和农村是不一样的
1696126627# #银川：“认贷不认房”，已结清房贷的再次买房申请贷款时按照首套执行dogedogedoge
1698115156# #联发科为什么在高端芯片方面一直干不过高通？是技术差，还是品牌差，还是都差？
1698905574# #凤凰网科技讯11月1日，近日，小鹏P5车主联名致信何小鹏，表示提车已经快两年了，城市NGP功能仅在五个城市支持，几万的激光雷达和几万的软件形同虚设，通过官方各大渠道进行反馈，却得不到有效回答。凤凰网科技针对此事做了一个调查，截至发稿前，有超5000人参与，其中80%网友表示对小鹏汽车信任大减。
1697466298# #看看，这是我们村前面的苹果市场，壮观吧
1692537101# #郭台铭出来参选，打乱格局，稀释选票，反而可能让民进党赖清德渔翁得利，而民进党当选，基本等于。。。。。。
1698035566# #电子呕吐物社交网络、资讯平台上的垃圾信息太多了，以前是社交垃圾信息多于资讯平台，现在资讯平台啥都敢推荐，什么嫂子、什么大白腿
1696659565# #中国女游客在泰国普吉岛五星级酒店坠亡哎，泰国也挺倒霉，旅游业这下子完球了
1695823654# #华为的研究所都设在远郊区，中国的大学是不是应该学习一下
1692536455# #像长鑫存储这样的国产存储厂商崛起，可以改变产业格局，比如国产手笔记本、手机、台式机等都猛上大内存、大存储，产品竞争力会大大提升。在信创、国产替代的大背景下，可以加速国内各类设备的体验提升
1693794722# #要是都禁了，高通不吐血么
1691569117# #苹果的严是体验标准，不是准入标准
1699159944# #刘强东有保姆厨师司机保镖等等，这些开支应该不低
1694958127# #除了繁华地段的酒店、高端住宅，确实不应该建设太多高层住宅，尤其是郊区
1691310205# #生态体验越来越好，微博QQ的分享我在场学习了
