1701921879# #南方也有大浴池啊，大家不都是坦诚相待？
1686964252# #转发微博
1688015421# #人家改过来了，注明是成教毕业。
1699229275# #警方通报女子将孩子推下池塘一看就知道女的不正常，有人又扯上重男轻女了。
1695953634# #中山大学副研究员被举报出轨女博士后玩的这么疯？
1687746400# #转发微博
1697893004# #今天这个还可以。
1697017967# #费解
1696691808# #中国银行原董事长刘连舸被开除党籍估计他儿子要放挂2万响的长鞭。
1686981044# #要不要介绍你给我同学去整点好酒尝尝？嘻嘻
1687963919# #可怜天下父母心
1688633619# #有用
1687373999# #川大地铁事件涉事学生被留校留党察看这处理很多人不满意。川大从教育和惩戒角度出发，放张薇一条“生路”，真是手下留情了。。结合张薇被曝出从高中到现在的黑历史，开除也不为过。。但从张薇事发至今的态度来看，川大这情她是不会领的。为了学还能上，能毕业，张薇肯定会暂时的妥协，夹着尾巴。。其实
1699973038# #董明珠王自如金星太损了。
1697015939# #女子称打车不到17公里被收145元投诉啊！肯定是被宰了。
1691890233# #医药反腐深入被查书记院长升至176位这才多少，继续查，把全国所有医院的院长书记查一遍，看能有几个干净的。
1696930415# #多年没犯的痔疮又犯了。记得当时犯的时候，一支马应龙只用了二三次就好了，剩下的也浪费了。这次卷土重来，又买了一支，用了三次效果不大。
1701138900# #武大哲学教授苏德超关于内卷、精神内耗、享受孤独等一系列热点话题，用哲学方式解疑释惑，引发了众多年轻人的共鸣，哲学的一大功能是抚慰人心，相信未来，内心温暖。
1703498910# #吃不消
1695542691# #许子东是少有的上电视说学术而不被同行diss的人，从不接受知识分子上电视到直播百万人观看，跨界真学者许子东，牛！
1703510648# #官方通报订婚强奸案中网传骗婚不实这个事，男的被判刑，你说冤吗？不冤，确实是强奸。你说不冤吧，又有点意难平。。男的终究是年轻人，缺乏男友女交往经常验。。其实，现在年轻男女谈对象，自由恋爱也好，介绍的也好，基本上都不用等到订婚就会发生性关系。一般约会三到四次就差不多了。。如果约会三到
1696724624# #转发微博
1688458378# #老庄转型房产博主了！挤眼
1687755330# #裏粽子？
1688697850# #朋友圈一女的，6月29日发朋友圈去缅甸，说不挣100万不回来。从那以为再没见过她发朋友圈。。这脑子。
1688488416# #这
1690162659# #经纪人否认张柏芝谢霆锋复合估计不可能复合了吧，老三他爸怎么办？
1702042289# #彩票店、商场里到处有人刮。
