1700339648# #聪明的牛，跑得好！酷
1687917848# #美利坚拉屎都自由自在，连空气都是滂臭的！酷
1692642959# #广州黄埔区鱼珠镇街头，姐姐和弟媳打架，相互倒地报警…。doge。不愧是一家人，倒地姿势都一样！哈哈
1689321056# #俄罗斯一家麦当劳餐厅，黑衣男子和长发变性人发生纠纷，双方现场切磋起来…，变性女子雄性激素爆棚，黑衣男子败下阵来！doge
1692082365# #这是脑残行为吗？
1700201994# #广东肇庆，小伙骑摩托车载女友出车祸，倒地后十分冷静的说：“我出事了，腿断了，女朋友没了”。网友：人家的女儿没了！泪
1693210006# #小男孩当街踹奶奶，随后被看不下去的三位大哥教育…。
1695661883# #好疯狂一幕！钟丽缇大女儿晒出自己去看碧昂斯演唱会的视频，只见他在演唱会现场直接换衣服，可以说非常奔放。。。
1696695280# #以色列哈马斯武装组织成员将俘虏的以色列人军人带到加沙地带…，两旁巴勒斯坦民众欢呼雀跃！巴勒斯坦
1693918020# #学生实拍学校的园林设计，学校大楼都惊掉了下巴。网友：看久了确实有点难以启齿！笑cry
1687624795# #女子带情夫到家中过夜，被老公叫上朋友现场捉奸，没成想妻子全程护着情夫，这让老公更加气愤，最后结局也就可想而知了……！生病
1696428277# #给旁边的女生可能得到的只是一声谢谢，而给男生可能收获一个朋友！酷
1693776215# #老哥喝多了，一旁的女友和好哥们…！汗
1698874973# #遇佛转发，有求必应。。。很灵🙏
1694334519# #我就要买华为手机！呜呜呜。华为手机遥遥领先！笑cry只怪华为手机太火了一机难求，看把“孩子”急成啥样了。doge
1688226250# #看着活灵活现的鳄鱼，其实是裸眼3D移动雕塑！哆啦A梦吃惊
1700464060# #一大妈“人肉”占路边停车位，多次被警告拒不配合还撒泼…。最后民警果断采取强制措施将其带走！赞
1698995226# #你会花半个小时围观明星吃饭吗？汗
1689619222# #广西南宁某女子点外卖，地址只写个“江边”，外卖小哥累得从“头找到尾”还遭风凉话，与其理论过程中，女子默不作声，写差评。摊手
1698500629# #共享单车找回名场面，一个个都好无辜的样子…笑cry
1693120224# #这司机车都开不动了明显能感觉到压到东西，又听到小孩母亲大声尖叫，居然不是下车查看，还故意二次碾压，最后还要后退三次碾压，真是个恶魔，绝对是故意的！摊手
1701182976# #这个时候体型的优势体现出来了！
1688759855# #笨死算了……！笑cry
1692802687# #这个妹子了短视频帐号都是跟小男孩互动的视频…思考
1699474434# #请欣赏斯拉夫民族舞爱你
1698574417# #小面馆因座位紧张，店家安排顾客和受伤妹子拼桌，妹子不愿意并和对方发生争吵，没想到对方是个狠人，被直接一罐子怼脸上直接破相！衰
1689601452# #立马传遍全城，在当地算是社死了吧挖鼻
1689337410# #小白脸还是不中用啊…！论找个强壮男友的重要性酷
1687416521# #满满的安全感！笑cry
1688644355# #男孩从二楼爬绳子下降，楼下另一男孩突然拽起绳子拉远，难后又突然松手…，还好男孩下降速度够快，不然整个头部会砸向阳台人也会掉下来，那样就非常危险了！衰
