1702177068# #外籍旅客优先登机致一女子滞留机场蜡烛蜡烛蜡烛阿弥陀佛！
1694983453# #9月18日早报。。1.“普洱景迈山古茶林”历经13年申遗，获准列入世界文化遗产名录，成为中国第57项世界遗产。。2.“北半球最强”墨子巡天望远镜投入观测并发布仙女座星系照片。。3.香港发生一起巴士与汽车起重机相撞事故，致43人受伤。。4.深圳别墅内惊现“手术室”：涉嫌非法代孕，专人接送没收手机。。5.青
1692263650# #揭黑医生张煜喊话希望重回北医三院这个视频看了三遍，可怕……
1699450753# #揭露三鹿毒奶粉的记者现在怎么样了理想……死了。
1703676288# #官方通报因大气污染叫停面条加工蜡烛蜡烛蜡烛阿弥陀佛！
1702816058# #警方通报女童险被陌生男子捂嘴拖走这是怎么了？人贩子这么猖狂？
1692007179# #齐齐哈尔体育馆重大事故国务院安委会挂牌督办蜡烛蜡烛蜡烛阿弥陀佛！
1690104183# #律师称初中女生奸杀案已是顶格处罚这样的顶格处罚是为了给坏人留条活路？？？
1694486466# #遭老师打破头骨学生尚未脱离危险期🙏🙏🙏阿弥陀佛！
1693866296# #新设民营经济发展局传递什么信号🙏🙏🙏阿弥陀佛！
1701750996# #银行员工举报被领导施压发生性关系蜡烛蜡烛蜡烛阿弥陀佛！银行领导兽性大发……
1692325616# #缅甸华人称缅甸确实被妖魔化缅甸电诈团伙头目是哪里人？？
1691659678# #女幼师疑出轨学生家长被抓当街游行当街游行……游街，怎么没有那个男人？
1702877172# #班主任猥亵女生校方称怕耽误高考不开除学校给出了三个理由一是怕耽误其他学生高考，目前不能将郑某某开除；二是不能将这件事坦白给郑的妻子，郑的妻子在该校担任生物老师，并且家属也是无辜的一方；第三个理由是要顾及郑某某的社会形象和抗压能力，这个事一旦公之于众，他承受不了压力去自杀怎么办
1689970242# #7月22日早报。1.敦煌回应“骆驼被骑死”：哀嚎是受鼻牵影响，未发生累死事件。2.新疆博州一辆微型面包车驶出道路撞上重型半挂车，致6人死亡。3.重庆暴雨致全国重点文保单位通远门城墙局部滑坡，周边已设立围挡。4.游客川西旅游途中因高反离世，家属质疑旅行社未尽救助义务。5.太原警方：男子怀疑妻子与
1696203964# #大妈徒手铲商场免费蛋糕装满塑料袋这种人看到有便宜占就像犯了毒瘾一样。
1698006777# #女子带婴儿被3条流浪狗围攻咬伤🙏🙏🙏阿弥陀佛！
1697508279# #高校回应网红教师被指私生活混乱高校教师私生活霍乱，呵呵……
1694460980# #9月12日早报。。1.天舟五号货运飞船完成全部既定任务，顺利撤离空间站组合体。。2.广东一养殖场70多条鳄鱼集体出逃，区应急管理局称正在处置。。3.广州一高校食堂档口因不涨价被罚款，学生饭点排长队以示支持。。4.赣州警方辟谣“保安被业主打死”：斗殴中未发生人员死亡，受伤保安送医治疗。。5.179名电诈
