1695353395# #这是哪个白痴拍的？
1702800226# #达旺啥时候成印度的啦？藏南是中国的。
1695617231# #中国人随意丢弃的手提袋运到非洲后成为时尚，价钱还不算便宜。
1693372408# #三年过去，谁被打脸？
1695190691# #汉族的地是不是亚欧大陆最好的？
1687760732# #【你大爷就是你大爷】。罗斯托夫街头，一位俄罗斯老大爷直怼瓦格纳战士：“你们到底是祖国的保卫者，还是叛乱者？你们这么做对得起自己的良心吗！”
1698724961# #正常女性拒绝了田园女性炸裂的三观，并打出纯爱一击心
1687224432# #好一个“私有财产神圣不可侵犯”！风能进雨能进查尔斯国王当然能进衰
1696990386# #殖人惧怕自己的孩子喜欢孙悟空、爱上中国文化，那就努力地拥抱西方文化嘛，彩虹旗先摇起来！
1692854310# #三营长把我的意大利……面端出来请这位朋友尝尝
1696858155# #跟呸
1693472206# #据说日本人有保留发票的习惯。
1695001911# #劣币？好几年过去也没见你们这些良币拿出什么东西呀。在洋人面前就是怂逼，都不敢放特么个软屁。一门心思打内战，比谁都穷凶极恶。我呸！什么东西。
1691768581# #都说印度女性地位低，可是这几位印度男却把女人吊得很高衰
1693450731# #是谁让领导站着的？重来！
1700199247# #中传播音主持进修班。23秋季班辩论赛：结婚应不应该门当户对？。正方以一票之差获胜，应该。
1697877296# #以色列正在试图说服人们相信这个笑话摊手
1694953542# #老师让男生帮忙搬东西，被xxn写小作文吐槽。老师要是胆敢让女生帮忙搬东西，xxn不让老师社死才怪！
1694360275# #可望不可及的明珠啊，我们何时才能拥有！
1692802688# #敌营十八年？惊呆了。
1697359291# #上海WF展上的一款仿真硅胶女性，工艺考究，细节逼真，据说连小腿上的静脉曲张都清晰可见，恍若真人。。本狼墙裂呼吁，有关部门要及时出台措施，坚决禁止🚫把硅胶娃娃造得那么逼真。不然的话，那么多小仙女大仙女老仙女可怎么办？
1694440045# #中国有一带一路，美国就撺掇了个印欧经济走廊，真是拾人牙慧，全无创意。。我们的一带一路是与人互惠，合作共赢，而他们是纯搅屎。本狼觉得这走廊最终会沦为牛粪味儿的笑话。
1703300700# #他们劫持了良心，还想打断脊梁衰
1689305838# #香港人居然为深圳的美食街整出了攻略——这是有多没见过世面呀
1691046934# #乌克兰外宣过分了，竟然抄袭我们的抗美援朝宣传画。
1703092608# #从小天然统，中国台湾省！
1701781953# #乱港分子周庭，会说流利日语，申请日本庇护。迟早山穷水尽，可以考虑就地下海，出道成为周老师🎦
1693707630# #2023年第40届艺术体操世锦赛在西班牙瓦伦西亚完美收官，在集体全能项目中，主场作战的西班牙队获得铜牌。8月30日，西班牙瓦伦西亚地方政府举办体操运动员招待会，负责礼仪拍照的人要求体操运动员们在前排跪下以便和站在后排的官员们合影。。立刻有大殖子表示要尊重别人的传统。可是大家猜猜，如果中国的
1696744802# #兰尼斯猫，有仇必报！喵喵
1703419091# #四川共青团你是认真的吗？。不过仔细想想，谁说内地省市就不可以命名航母——那我大北京为什么不来一艘呢！
1698013489# #明事理的老傅同志
1697877639# #相比之下，北京摇号就摇号吧。
1694659757# #【福建泪目】。福建舰下水后，英国北洋水师水兵墓地摆满了鲜花和中国军舰的照片。这块墓地安葬着北洋水师五位远渡重洋到英国购买军舰而在路上病亡的官兵，他们中有三位都是福建人。
1695460446# #9月22日，网传重庆建筑科技职业学院保安与一名女生发生冲突。。警方更正：打保安耳光的不是女生，而是食堂阿姨。
1700827190# #专家的表情很像是吓到了
1692079924# #【一毛必拔】。8月13日，一名女子在大连一家饭店就餐时，假装挠痒，却把手伸进裙底，拔下不知什么部位的毛发，然后偷偷放到桌上，企图制造出吃到毛发的假象，然后就可以享受霸王餐！。然而在摄像头的时代，就算是区区一根腿毛，也休想躲过监控的画面！
1700733350# #风萧萧兮易水寒，壮士一去兮不复还！
1702119314# #国外评选的2023世界最安全城市。。是不是怕中国城市霸榜，单开了一个序列？
1696324702# #日本网友精准把握了亚运会的精髓。
1689481494# #韩国总统尹锡悦携夫人意气风发地访问乌克兰。。而韩国国内暴雨成灾。据韩国消防部门通报，截至当地时间7月15日16时30分，韩国全国因暴雨死亡的人数暂时统计为24人，此外还有10人失踪。
1701309977# #中传播音主持进修班。23秋季班的跳大绳运动👻
1701387235# #太后的遗愿
1697124860# #民不畏死，奈何以死惧之！
1693732111# #被公知们摧毁的工业王冠👑
1692837579# #8月23日18点30分左右，一架从莫斯科飞往圣彼得堡的俄罗斯公务机在特维尔州境内坠毁，机上10人全部死亡（3名机组人员和7名乘客），瓦格纳领导人普里戈任和他的助手乌特金均在其中。
1691834844# #当事双方均使用极端粗俗语言长时间辱骂，这恐怕就是现场真实的情景。
1695295098# #著名润物范士贵，只身跑到欧洲当难民，疑似把老婆和两个女儿都给卖了衰
1694145498# #某音上苹果官方的评论区疑似已沦陷……允悲允悲
1694137474# #【西方对高华下手】。加拿大第一财富银行的三位华裔创始人，被加拿大政府勒令出售其所持有的银行股份。财政部长弗里兰担心这些人与中国有关，威胁到加拿大国家安全。。加拿大历史上第一家华人银行就这么被人明抢了。而这些华裔创始人还是“特鲁多基金会”和执政的自由党的捐款人。
1694917617# #小车不倒只管推，红旗颜色永不褪。
1696079847# #9月30日，杭州亚运会乒乓球男单1/4决赛，日本名将张本智和对阵韩国选手张禹珍。。前三局，张本智和连胜3局，以3-0领先。张禹珍第4局扳回一局。。第5局，张本智和出现受伤，张禹珍完成让三追四大逆转，成功晋级。张本智和无缘男单四强。
1696390545# #抽象派亚运摄影允悲
1703769419# #土澳华人在行动！。孙维在澳洲的豪宅已曝光，占地53顷。澳洲华人已联合起来请愿澳洲国会，要求介入调查，称澳洲不是藏污纳垢的地方。。孙维在澳洲的房产目前已经挂网上拍卖了。这回她又要往哪逃呢？。其实缅北不错的，都比较狠。
1703768523# #国际空间站拍到的京津冀夜景画面，京津双城为何不向彼此的方向拓展呢？
1696808442# #请跪好，我们是上帝之鞭。
1692796469# #即使到这个时候，依然不愿尝试女生AA男生免费吗？
1695275210# #【老照片】。1992年，参与搞垮苏联的俄罗斯领导人叶利钦满怀期待访问美国，美国总统克林顿笑得合不拢嘴。
1703518775# #后来，这位公知含泪喝下了一碗来自恒河的圣水！。卒。。就此长居于古墓，号称古墓派公知🙏
1687621972# #各种博物馆，不晒还有冷气。
1700202241# #【小鸟依人】。四川小伙第一次带日本女朋友回乡下看望家人。
1695995198# #北理工的学生确实比较靠谱的。
1693103307# #喝一口给我看看馋嘴
1696597194# #金银花入侵国外
1691995741# #和历史上一样，我们中国总是不得不面对未开化的野蛮人。
1691124458# #外网提问：在中国生活多年之后，你们再回到自己的祖国有哪些不习惯的地方？
1704178929# #去香港跨年的内地游客，最终落荒而逃返回大陆。
1687615574# #独自莫凭栏，无限江山。
1690881297# #8月1日，为庆祝中国人民解放军建军96周年，抗美援朝战争剧《冬与狮》发布群像海报。。期待心
1691996587# #法兰西斯坦衰
1688279614# #如果是男生向女生泼热水，你猜会怎样？
1703228842# #2023年就要过去了……
1694581764# #【别人的学校】。哈尔滨工程大学教学楼的屋脊，坦克、飞机、战舰、骑马的军人……。令人神往的“国防七子”院校。
