1688176316# #新能源车电池竟然长这样。
1696932787# #【女子路遇大爷晕倒立刻人工呼吸救助】10月10日，广西南宁，一女子路遇老大爷晕倒在地，不顾雨天地上湿滑立刻展开救助，终于在救护车赶来前从死神手中救醒大爷。为美女点赞！南宁地点来源：一点资讯
1697329445# #10月13日，浙江温州，大鹅群中的显眼包，网友：训练有素，骨灰级老员工。
1690653721# #看看狗子这一嘴好牙。
1688684651# #别总觉得国外的月亮比国内圆，看看伦敦的街道你就知道了。
1698397884# #【妈妈10年20本日记唤醒植物人女儿心字里行间皆是爱你】陕西西安，妈妈10年写20本日记记录植物人女儿治疗过程中的点滴。据了解，2013年胡燕均19岁的女儿华楠因车祸不幸成了一个植物人。在医院治疗近一年后，胡燕均夫妇带女儿回家康复。喂药、喂饭、按摩……从早到晚，日复一日。如今，植物人状态的
1697778166# #中国一点都不能少！
1702718766# #黑龙江大雪过后惊现开盲盒式挖车。
1698630810# #爸妈的怀里是孩子们最温暖的港湾。
1698976187# #今日灼见的精选超级购物节清单好物分享8字拉力器拉力绳瑜伽扩胸八字拉力器普拉提阻力带美肩开背拉力绳。【推荐理由】这款8字拉力器是一款专业的瑜伽扩胸拉力绳，适合普拉提和阻力训练。它采用高弹性材料制成，能够提供足够的阻力，帮助塑造美肩，并在训练中有效开背。无论是初学者还是经验丰富
1696226200# #小朋友扛着比自己高的国旗登山，关于国旗的来历，他的回答让人泪目。
1688798313# #8个月人类幼崽该有多可爱，这无处安放的魅力呀。
1690204344# #网友：只有带娃的才懂。
1694515067# #这不是我的梦中情娃吗？
1691495095# #8月8日（发布），江西景德镇，博主带外国公婆游览景德镇，深入了解中国文化尝试制作陶艺。
1701387045# #【男子跑分50万被同伙打一耳光后抢走】男子取现50万当街被抢劫匪竟是电诈同伙近日，在辽宁沈阳，一名男子遭遇了当街抢劫，从银行刚取出的50万元现金全部被劫匪抢走，还被其中一名劫匪打了一耳光。蹊跷的是，被抢男子报了警后却没有在现场等待警方，而是直接离开了。警方随即展开调查发现，男子取
1687051987# #摆摊界气质天花板，正处级鱿鱼大叔，女儿博士，儿子硕士！
1689251433# #7月13日，陕西西安兰田县，暴雨泥石流冲进村民家，院墙遭毁坏，邻居们冒雨帮忙疏通。村民：水灾无情人有情！
1703918266# #骆驼的嘴为什么这么硬？
1702687189# #天津人的相声DNA无处不在中国第一位女将军：妇好的墓里没有人。
1696572120# #儿媳给公公买新衣服，公公嘴上说着浪费钱，下一秒却开心地笑容都藏不住。
1696981077# #起猛了！“梅西”和“C罗”竟现身成都街头打馕创业。网友：连身高差都模仿到位了。
1688138225# #【暴雨突袭老人被困邻居出手相救赞】6月30日，湖南湘西古丈县暴雨，致部分区域积水。一名90岁的独居老人被困家中，热心邻居冒雨“公举抱”将老人救出。网友：洪水无情，人间有情。愿每个人都能被温柔以待寻美中国来源：
1689644176# #女子监控发现男友在踢自己的狗。女子：很生气也很后怕，不敢相信狗替她挨了多少顿打。这样男人趁早分开，不然以后挨打的是自己。
1690689841# #一步一百，看你能拿多少，LV给你安排上。男子为了让产后的老婆尽快恢复，想了个小招，果然奏效。
1698814788# #勇敢面对困难，加油姑娘！99年的中美毕业，一心跟随男友，结果怀孕期间遭男友抛弃，出轨闺蜜，一意孤行将孩子生下来，现在一边摆摊卖画，一边带着孩子。（五彩泰安）
1689644289# #B太揭秘菜市场中的“鬼手”，砧板后藏肉……“空气都有六两重！”
1697822249# #杭州亚残运会轮椅篮球赛场拉拉队员都是残障姑娘。场上动作整齐划一，现场氛围拉满。姑娘们太棒了！
1699334108# #孝顺懂事的孩子，为你点赞。
1689748455# #7月18日，佛山三水，男子在路边散发涉黄广告，被正在休班的辅警逮个正着。
1698756425# #我们通过增强现实技术来了解一下神舟十六号返回的全过程。简单说来有：一个亮点、四个关键、五圈等待。
1700650994# #【传SHEIN赴美上市并已秘密交表】近期，神秘的跨境电商巨头SHEIN再次传出赴美上市的消息，预计此次IPO将把公司估值推升至900亿美元，在国内电商圈仅次于阿里巴巴、拼多多，远高于京东约440亿美元的市值。。。值得注意的还有，据媒体报道，今年5月，美国国会给美国证监会发问询信问询SHEIN上市事宜。信
1689548184# #7月15日，吉林。网友在路边拍到的老板娘“来了老弟?”网友：当服务员送老板娘么？
1703654289# #原来拔牙也不算个技术活。
1701600940# #睡在这个炕上不冷。
1689549505# #7月13日，广东。儿子自己出钱盖房，却被父亲要求过户给女儿，儿子不同意后，父亲直接过来拆家。
1698743082# #网友拍摄：大批缅甸人在云南躲避内战。
1691016569# #心痛！近日西安一仅仅5月大女婴，心脏被扎进一根绣花针！医生：推测有两种可能。网友：根据强制报告制度，报警吧。女婴心脏扎进一根4厘米绣花针
1690783473# #甘南夏河发生暴洪泥石流，应急、消防救援力量展开搜救。你永远可以相信中国消防
1699495290# #年费打4折啦！活动底价就现在，VPlus双11惠聚周年庆早鸟优惠超低价，最后一天，数量有限，先抢先得，点击订阅↓↓苹果ios用户支付方法：
1698192204# #他16岁失去双手双脚，却说：“比起牺牲的战友，我还是幸运的。”向英雄致敬goodgoodgood
1687050901# #葡萄牙vs波黑，中途c罗球迷冲入场内，跪拜拥抱c罗，c罗也很配合。这球迷真是迷C罗迷到了骨子里。
1698899175# #韩情报称朝军事侦察卫星发射筹备近尾声。
1693805506# #儿子留守儿童从3岁就放在家里，现在14岁上初三，每次上学司机都会停车打喇叭叫孩子。
1697178176# #儿媳分享上班婆婆在家带娃一幕:从宝宝七个月就出来上班，如今孩子一岁半，都是婆婆一个人一拖二，真的很感激，以后一定让孩子好好孝敬。
1689895427# #女子在暴雨中淋着雨喝酒，只因她爱上一个大叔，为他生下孩子后却惨遭抛弃。
1689575056# #青岛惊现特大日晕奇观今天，青岛的天空放大招，出现日晕奇观。难得一见！
1687264137# #男孩在路边玩水，不小心弄脏停在一旁的汽车，他赶忙停下，将车擦干净后才离开。男孩路边玩水弄脏旁车擦干净后才离开
1694334175# #专业的却干不过业余的。
1687397157# #太燃了……赛马3000米圈赛，蒙古马“只身奋战”首冲终点！
1700634075# #以顺产最好，不能顺产再剖。
1696160722# #印花税之后，证监会三箭齐发！打响A股保卫战。来源：第一财经
1697261190# #张颖：流感或与新冠等病原体叠加！这个秋冬季更需预防流感。来源：天津广播
1687078704# #彝族姑娘在铸造厂做翻箱工，这个工作强度看起来就不简单。
1692402300# #老公被老婆气哭，言语里全是委屈，网友：这么好的老公，给我来一个。
1691331851# #愿大家都平安！黑龙江牡丹江一河段水位逼近道路，官兵们冒雨垒筑沙袋。辛苦了！你永远可以相信中国军人
1701414680# #【cop28大会《联合国气候变化框架公约》第28次缔约方大会在迪拜开幕】当地时间11月30日，《联合国气候变化框架公约》第28次缔约方大会（COP28）在阿联酋迪拜开幕。在全球气温屡创新高、气候灾害日益增多的背景下，本次大会将首次对《巴黎协定》签署以来的气候行动进展进行“全球盘点”。当前受气候
1698738690# #相懦以沫，白头到老，不离不弃一辈子，才是真爱。
1690956077# #饭店凌晨为200余名救援人员，提供休息场地热菜热饭。“在救援行动中尽自己的一份力”。饭店凌晨为200名救援人员提供热饭菜
1690099759# #汛期避险，这些误区要警惕！来源：新华社。今日灼见科普灼见
1697370585# #不是欧洲旅游不起，只能说哈尔滨更有性价比！这个冬天哈尔滨走起！
1688134034# #被这个宝宝惊艳到了女孩一夜没睡陪妈妈生产，抱着刚出生的弟弟，等妈妈出来，懂事的让人心疼。他爹呢？
1689546709# #7月15日，吉林永吉。居民楼起火，女子3楼跌落砸中消防员后一起坠落，知情者：两坠楼者是一家的。
1691982972# #8月9日(发布），重庆，男孩曾因车祸意外受伤，妈妈拍下其开心玩耍的视频。网友:希望健康的宝贝每天都能快乐。来源：今日焦点
1691521728# #路人发现有趣的一幕，男子长椅上喂松鼠，身上麻雀成群，网友：邋遢的外表干净的灵魂。
1702902914# #东方甄选股价涨超25%这印证了和气成财这个成语。
1702379573# #爸爸满足了闺女的小愿望。
1693667015# #段永平的31条投资格言，堪称经典语录，码住慢慢看。
1687171310# #你永远可以相信中国警察五四精神传承有我在这个以“青年”命名的日子，一张关于“青年”的老照片，一起回忆“青年”的他们，共同祝福“青年”的你们！青年警察的正确打开方式五四青年节
1697112007# #女人生气是不分年龄。爸爸不小心惹女儿生气，在大街上跟在女儿身后一句一句的哄。
1694521001# #一位妈妈带着轮椅上的孩子，三步一叩首祈福。
1689155324# #7月11日山东，中医师傅看似随便扎了几针，竟让六年来从未说话的男童叫出了妈妈，“国家应该重视中医药学，不能让中医流失”。
1686997301# #路遇奶奶雨天没穿鞋，妈妈送伞又送鞋，网友：格局大的母亲，言传身教！
1690704207# #男孩玩游戏受挫怒砸手机，父亲赶来后“拳打脚踢”。“一时不知该如何评价这对父子”。
1693004448# #轮椅夫妻坐车突遇爆胎，暖警飞奔赶到护送进站。
1688784227# #【男生考上研究生辞掉上万月薪工作：备考三个月超预估60分】你会为了学业放弃上万月薪工作吗近日，山东青岛。史先生考上双一流大学的研究生后，毅然辞掉万元月薪工作。据史先生介绍，他此前在一个车企上班，本科读的车辆工程专业，每月工资1万多，但考虑到职业发展，尤其是自己想进的研发部都是研
1690203744# #孩子们帮爸爸扛米，哥哥贴心给妹妹一袋小的，孩子们：能帮爸爸的忙非常开心。
1697606282# #这声听不到的“爸爸妈妈”用眼睛看到了，公公婆婆一定也充满欢喜吧。（浙江日报）
1699592119# #【今日灼见的精选达人专属】中国联通话费充值50100200元全通通用手机话费慢充0-72小时到账。【推荐理由】想要秒杀专属优惠？那就来充值中国联通话费吧！我们提供50、100、200元全通通用手机话费慢充服务，充值后0-72小时内即可到账。不用担心充值慢，我们会尽快为您充值。快来抢购吧！。【现价】48
1698566819# #只有你想不到的，没有他们做不到的。
1698028808# #110岁老人郭兰香长寿秘诀，“心里一喜欢就不生病”。
1694126324# #3岁的姐姐去幼儿园接18个月大的弟弟，姐姐跑向弟弟的一幕好暖心。
1693435268# #相信国家相信党！所有举报线索坚决查透查清！
1689655798# #消防员训练结束后用水降温，没想到……
1697265709# #小女孩在哥哥的婚礼上为新郎新娘送戒指。
1687565128# #老人出现身体不适，怕摔到四个月的孙子，坚持将孙子托付路边店主。据老人儿子刘先生介绍，老人今年63岁，有哮喘，这次疑似是心肌梗塞，送医抢救后不治去世。
1697112223# #娃还没睡着，姥爷先睡了。
1697167165# #本轮巴以冲突已造成双方超2800人死亡！以色列放言“要把哈马斯从地球上抹除”
1698593045# #邓婕：感到人生孤独时，只能自己救自己。（凤凰卫视）
1701383817# #三只羊网络CEO杜刚回应上市传闻，三只羊网络CEO称无意再造小杨哥，上市不是目标下一步可能拓展新加坡市场。（来源：中新经纬）
1688784484# #身边的超级致癌物黄曲霉菌黄曲霉菌是一种常见的真菌，它存在于空气、土壤、植物和食物中。黄曲霉菌产生的毒素被认为是一种强致癌物质，对人体健康有潜在的危害。。。黄曲霉菌毒素主要存在于一些常见的食物中，如谷物（如玉米、大米、小麦）、坚果、豆类、水果和蔬菜等。当这些食物受到黄曲霉菌的污染
1688509427# #30多度的天气，女子身穿羽绒服现身街头，搓着手哈着气，一顿操作，路过大姐看懵了：这是什么操作？
1691494872# #汽车路口转弯，摩托车在后方直接撞上，骑手摔落后又遭碾压。今日灼见车技不好千万别上路，撞到人了还在行走，就这汗汗汗
1702902798# #【小杨哥谈去年缴税2个亿小杨哥称拒绝太多合理避税】日前，小杨哥在节目中谈到去年缴税2个亿时表示，“我只知道这是我应该交的钱。太多人找来说帮‘合理避税’，帮你省出来一点，但我们知道不能干，打电话跟我聊这些立马给挂了，拉黑。”
1700099888# #婚礼现场溢出屏幕的幸福！
1698577665# #干掉一个人最阴狠的手段是什么？一旦你能够在生活和工作中的各个方面，把博弈论运用的游刃有余，成功也就在不远处向你招手。
1698801295# #【今日灼见的精选超级购物节清单】。。广西珍珠小米蕉。【推荐理由】糯甜口感细腻爽滑圆胖身材肉质丰厚富含营养。【现价】9.9元。
1693483235# #男孩在吵闹的地铁写作业，填空题旁也工工整整写好步骤。
1703461553# #朱令再见！12月24日中午12点，朱令遗体告别仪式在八宝山殡仪馆举行，告别厅内奏起的《广陵散》是她1994年中毒后强忍腹痛完成独奏的版本。民众手持白菊排队悼念，“你永远活在我们心中”。（凤凰周刊）
1687858781# #6月27日，河北邢台。孩子帮大人扶着梯子，梯子突然要断裂，而孩子没有跑一直小心翼翼扶着。
1699258314# #你有没有吃过这种西红柿？
1687527576# #接下来请欣赏旱地龙舟…只要思想不滑坡，办法总比困难多。
1688075797# #6月27日杭州滨江，女子下单“敌敌畏和百草枯”，外卖小哥又立功了。（来源：滨江公安）女子下单农药外卖小哥秒报警小哥接代买敌敌畏订单报警救回女子
1696293109# #10月2日，浙江杭州，朱雪莹获得女子蹦床金牌后与父母激动相拥，其父表示：“非常光荣，为祖国争了光。”
1703715692# #泰国前总理英拉被判无罪。
1689941665# #董宇辉回应被指江郎才尽，高情商令人叫绝。网友：腹有诗书气自华，果然读书能使人文思敏捷。
1700816546# #预制菜上市企业十强有哪些？
1699586344# #朋友们！抽奖来袭~11月7日-11月20日期间每日下单订阅我的V+，均可获得抽奖资格，100%中奖（最高可中888元红包）抽奖次数上不封顶！限时参加
1702261741# #班级里的小朋友个个高颜值，扑面而来的酷拽气质。
1699173143# #女孩身上6个伤疤同寻人启事一致父母为寻找失散女儿，在高速路旁竖广告寻人启事，17年后终于找到女儿。（黄金30分）
1692715447# #本来还觉得太凶，下一秒就感动了。
1700634039# #风水不流外人田，对吧
1698221854# #双胞胎宝宝参加爸爸妈妈的婚礼，两个人的婚礼，四个人的幸福。
1687852708# #【达沃斯在天津时隔四年在中国重启2023天津夏季达沃斯论坛今开幕】今天上午，第十四届新领军者年会暨2023天津夏季达沃斯论坛在天津梅江会展中心开幕，会议将持续到29日，这也是夏季达沃斯论坛时隔四年在中国重启、时隔五年再次回到天津。跟我一起实地探访达沃斯吧。大咖眼中的达沃斯
1688140168# #这里是香港——1.文化之门：文化是一座城市的灵魂，在香港维多利亚港附近有一片面积为40公顷的人工填海区，这里是西九文化区。来源：CCTV9
1697608012# #大叔让你如愿以偿。
1700918198# #其实让人崩溃的东西很简单，是说话的语气和不耐烦的情绪。
1692618622# #两个月宝宝第一次说话竟然是喊“大姨”，大姨听到后可激动坏了。
1703238384# #孩子大口吃饭的样子让人心疼。
1702642848# #天津大雪中的暖心瞬间今天天津的每座桥都难以逾越！
1687093298# #中美外长握手，华春莹：望两国重回巴厘岛元首会晤共识。来源：环球时报
1699353925# #哈尔滨变成了哈尔冰。
1703327591# #党徽是最美的胸针，五十年党龄的老党员吃饺子时默默的排在最后，只为了跟消防员说一句谢谢。
1687328899# #点赞天津站在高处，俯瞰津城，天塔，给你不一样的感受。点赞天津河西行你好天津
1703941751# #雷军的新年贺词小米完成人车家全生态闭环，发布小米SU7引领未来出行。。2023年12月30日，小米集团创始人、董事长兼CEO雷军在发布会上宣布，小米已完成人车家全生态闭环，并发布了旗下首款智能电动汽车小米SU7。。。雷军表示，今年10月，小米发布了具有划时代意义的澎湃OS，这是一款实现了全局底层架构重
1698081575# #路上有坎坷，人才变得坚强起来。
