1695609060# #真心希望这个是摆拍吧！（视频源于网络真实性不知）。。日常想法
1700711352# #光天化日，手机被抢了！大家出门要注意了！一定要保护好自己财物！
1695267960# #完了，皮夹克漏风也就算了，这回小棉袄也…。。我的幽默搭子定格
1693055880# #这样的店你接受吗？
1691484629# #他们说：救援我们不会，但我们会做饭，我们做饭给他们吃！
1687222352# #楼顶喂鸽子时遇到偷狗贼，男子站在楼顶丢砖头猛砸。
1693414301# #当我想妈妈的时候，即使晚上，在妈妈坟前我也不害怕，那是最爱我的人，感恩相遇，感恩遇见
1692958560# #海鲜还能不能吃，年前想吃就吃点吧
1688619720# #当你还在犹豫要面子时，别人已经出手了…
1690900980# #就是这样一个个的肩膀，为我们扛起了祖国的和平与安宁。致敬，中国军人！
1699568160# #有一个长得像要债的老公是一种什么体验
1699455673# #董明珠称真正的左右手不会跑。董明珠带绯闻员工王自如参加采访，还首次回应孟羽童离职！
1694142960# #买车一年后变速箱漏油，男子找售后处理，却被工作人员威胁：我弄死你
1694952960# #第二集:冲动大妈爆打小伙，小伙报警时，又一男子冲小伙而来。。.
1699791720# #口才一流、总结到位，让人啼笑皆非赞赞赞允悲
1688716920# #飞来横祸！路边烧烤店客人，被飞来的货车轮胎砸倒
1697210312# #形意拳的老视频
1696055760# #女神吴艳妮人气有多旺。9月30日上午，杭州亚运会田径项目继续在奥体中心体育场进行。在备受关注的女子100米栏预赛中，中国队派出了林雨薇和吴艳妮两名选手参赛。最终，两人均以小组第一的成绩晋级决赛。赛后，吴艳妮接受了记者采访。
1693037760# #从天而降的小五花
1698821541# #女子结婚快十年没上过班，刚找个班上一个月，老公不是找事就是怄气女子无奈选择辞职
1693492260# #再也看不到干净的海了，这些可爱的动物还不知道灾难将在不久的时候到来
1700822853# #你们觉得气球是怎么破的？
1702192543# #外卖小哥哈哈哈哈哈
1700791321# #村民占用路边沟种小麦被挖机挖掉修补路基。网友：这才是村支书该有的样子。
1700278991# #没有公主命，一身公主饼
1695481500# #允悲允悲范冰冰这是哪里请的托！。。涨姿势想法
1703749032# #小伙子毫不犹豫，徒手接从3楼坠落的孩子。。。微盘点v笑年度大赏
1701311460# #偶遇王嘉尔素颜出门王嘉尔
1687658364# #这就叫专业
1688008525# #谭咏麟任意球送助攻黄日华球场弯弓射雕
1701178920# #猫咪抓住苍蝇的全过程，快！准！狠！
1700485329# #消防车拉响警笛无人开门，消防员紧急折断花杆强行通过！网友：这种情况物业敢索赔吗？
1695130260# #同事一场，你哪能占我便宜！。。我的幽默搭子定格
1688906859# #突然让我忘记了原唱。哈哈哈哈哈哈哈哈成功的忘记了原唱doge让人成功忘记原唱的灵魂歌手👩‍🎤
1698939886# #以国防军参谋长称以军正从多个方向包围加沙城哈马斯深入以色列核心区域，成功引爆以色列最大油库
1693836060# #科学家发现一条来自明朝的鲨鱼，现如今年龄已经超过512岁，它长寿的秘诀是什么？
1694431860# #这辈份一下就下来了😂
1703471798# #00后小伙年销7万单爱因斯坦的脑子“爱因斯坦的脑子”网络热销？卖家：付款后自动长到大脑上北大学生也买爱因斯坦的脑子
1695289001# #生了病，气色反而比没病更好。。我的幽默搭子定格
1690782060# #这脑子一定是出过车祸并不简单
1700651760# #三个臭皮匠胜过诸葛亮。
1698729085# #世界上最危险的工作。引水员，一上一下20万没了。还要好吃好喝的伺候着所以要好好学习
1700046053# #陈楚生说好的音乐可以承载记忆。。前奏一响，谁的青春回来了？初听不知曲中意，再听已是曲中人，如果时光机真的存在，你最想回到哪一年？。。
1688446980# #这就是漫展的快乐
1690803207# #这大哥的头发就这么烧没的吧
1700735460# #外卖骑手与城管起争执，城管要拔车钥匙，骑手随即动手。“遇事按规定协商解决，不要冲动啊”。微博喜剧现场平凡
1702968509# #哈哈哈最后一句升华了dogedogedoge
1691395840# #电力部门用激光炮给大树“剃头”（提示：请勿模仿，视频在安全管控区域拍摄。采用红外激光，人眼无法观察，视频中加了特效，权当娱乐）。趣过夏天生活
1694939460# #著名歌唱家董文华、李双江等众多艺术家聚会，现场群星云集热闹非凡！赞。。.
1688709079# #理智回归器，瞬间变得彬彬有礼，温文尔雅
1701605452# #教科书级别的粉丝应援出现了最强应援我的沙雕室友真的很奈斯！。。这届粉丝是懂得为爱发电的
1690629499# #大雨过后的济南
1694154660# #日本人疯抢华为
1687505226# #谁都指望不上～
1697202540# #凌晨2点男子酒后闹事，被民警一招制服
1702899157# #这是不是你的童年嘻嘻
1700370960# #在北京200块钱一个月的房子你们觉得怎么样
1690644720# #这段台词说的很精彩，不知道对不对
1691820120# #农村吃大席今天是个好日子
1687942691# #普及祖国的人文地理震撼安徽
1689932555# #跟女孩子出门一定别让她带闺蜜....破坏我的好事。
1691757960# #第一次见这么硬的菜啊！
1698388577# #老公弄回来了一副字画，我随口道：大胆的弄，被他嘲笑了一番，这是什么字呀，有没有懂的🤣
1694424660# #如此夫妻，夫复何求！
1695361560# #不是男儿有泪不轻弹，只是未到伤心处！请善待你身边的的每个人！愿天下善良的人一生平安🙏🙏🙏
1691202901# #童年的回忆，小时候吃过吗？你能叫出它的名字吗？
1695827071# #杭州亚运会古灵精怪🤣可可爱爱！13岁冠军崔宸曦拿捏记者，小小年纪自信感好强
1688809854# #网友投稿的一个视频
1689728161# #今天在监控里突然看到这样的画面阿姨看见宝宝在玩电线板着急的冲过去拔掉电源害怕宝宝受伤还好阿姨及时发现有阿姨在我们很安心很感谢阿姨对宝宝的关心和爱护。。镜头里的欢乐瞬间
1700894760# #抗日小英雄。敬礼！
1695810660# #又省了好几方混凝土。
1687173324# #盘点让人惊呼卧槽的牛人，娶到这样的媳妇，家里省下了一台缝纫机
1697089560# #世界从来都是一个不公正的竞技场，只有不顾一切的斗争，才能成为最后的胜利者，守住自己的一切。
1692795660# #罗永浩围堵方舟子，被律师拦下，老罗持续出击占据上风，方舟子落荒而逃
1699933407# #笑不活了哈哈哈哈哈
1689783459# #妈妈辅导孩子写作业，被“东北的冬天”给难住了
1693366260# #日本禁播的纪录片，志愿者冒死拍下的血证--海豚湾（4）
1690545148# #满满无力感谁懂啊。明明做好万全准备了。。台风杜苏芮登陆晋江
1697079975# #摄影家蹲守三年，拍摄到六个稀世罕见的画面“鱼咬莲花”，“红喜鹊洗澡”“仙鹤吐息”“天鹅踏水”“遇见白鹿”“兔子过河”。留下一句“接好运”愿见者，所求皆如愿。
1700054700# #绿帽哥爆网了。。。微博喜剧现场平凡
1703909760# #林深见鹿，明年暴富！见者发财，不可不信！！！作揖
1699446060# #大明末年的一个尚书府邸，能工巧匠，栩栩如生，人间极品，是我们国家古代大师的聪明智慧象征。
1693913460# #三观超正的女孩，老生常谈的话题
1695540077# #五百万学来的挂衣服方法。。涨姿势想法
1696641155# #少林武僧路过机场，走路带风眼神犀利。。。微博喜剧现场快乐
1696234090# #我也不想出声但是实在憋不住…
1703074680# #三星堆上新了新解说全方位解读，我们也感受很多:有了嘉宾的解读或许我们会对三星堆文物有更深入的了解
1697904521# #这姑娘真是乐于助人啊
1689083220# #用海鲜自制一碗朴实无华的方便面
1688382923# #老爹鞋自制深水炸弹
1689904448# #我宣布这是我看过最震撼的海豚表演！。。。镜头里的欢乐瞬间
1696952064# #在旅拍的途中偶遇这只鸟，嘴巴受伤了.停靠在石墩久久不能离去.你们有什么办法可以救它吗？
1697432640# #只要有了新生的孩子，就有了希望和未来泪。。巴勒斯坦中方呼吁召开巴以冲突国际和会
1690773540# #高中时代真好啊！
1695780124# #帮助别人就是帮助自己，能拯救自己的只有自己，有时候转变一下思维，会有意想不到的收获
1703031536# #甘肃地震最糟糕时间最薄弱地方甘肃地震发生瞬间，饭店内厨师第一时间不忘关火，最后一个离开现场。网友纷纷点赞：这么紧急的情况下还能想着关火，太有责任心
1688696631# #当得知生的是妹妹，全家人欢呼，爸爸抱着娃落泪，网友：一大家子大花臂哭得稀里哗啦🤣。。镜头里的欢乐瞬间
1701071040# #一肚子墨水，居然是真事，古人诚不欺我！
1694652060# #国泳队员看见你这一跳，他们回家了！允悲允悲允悲
1698973875# #这也太会撩了吧
1693499988# #看完视频，你会极度的舒适
1698567972# #马保国连续3天演出
1695816060# #上山打老虎，要相信科学
1694858461# #李在明绝食今天进入第17天，健康已经非常危险。.
1690295151# #一份三哥的美味且上菜效率快的手抓饼，你会喜欢吗
