1679806719# #人口下降雪崩，没有人，谁来买房子？现在已经够几十亿人住的房子，没有人来接盘。
1689020032# #大饼比秃短期一会下沉3万迅疾拉回，一会顶刺3.1万被砸下来，蹦蹦跳跳很把握。。周kDJ金叉，MACD“水上漂”，5周20周均线平行向上形成“老鸭头”，中期技术指标多头气氛浓郁。
1662018628# #9月1日，市场开门黑。。上证跌0.54%，深指跌0.88%，创业板跌1.42%，科创50跌0.39%。。市场成交金额减少2570.2亿元。上涨家数：下跌家数为1764：2973，涨停：跌停为46：19，电子商务涨停8家，中报预增涨停7家，芯片概念涨停7家。。四大指数均出现了5日均线和半年线的死叉，且日MACD
1690584840# #税收风险管理系统运行图
1695416554# #舔狗的爱好，到哪都是闻闻，吻吻。
1673060758# #大白时代到大白肺时代
1665710249# #唐·龙牙禅师：。朝看花开满树红，暮看花落树还空。。若将花比人间事，花与人间事一同。
1663053721# #行到水穷处，坐看云起时。中央美院教授邱志杰：不要忘了，当年摄影术出现的时候，也曾逼得很多画肖像画的画家纷纷下岗。但正因为摄影术的出现，才令画家们开始思考要画成什么样才是摄影不可取代的，因此我们拥有了梵高、塞尚和毕加索。。今天人工智能所起到的作用，可能就像当年摄影术所起到
1691630509# #刀郎的歌声很特别，没有太多的修饰和花哨，有一种特别的朴实和真诚。。他的音乐创作灵感来自于他对生活和自然的深刻感受。。他的音乐风格独特，具有浓郁的民族和地域特色。（李双江）
1668682161# #哈哈😃
1667512835# #上证、深指、创业板周K线出现了明显的底背离，反弹尚有动力。。科创50日MACD“蛟龙出水”，日kDJ钝化，日K线挑战半年线，攻克此线不是什么难题，周kDJ低位金叉且处于上扬发散中，这是反弹的中期动力的保障。
1666646222# #《古董局中局》有句话：永远不要相信主动送上门的线索。
1694454258# #大饼比秃破位下行，由26000偏下方跌至25000偏上方，期间下沉至24900，靠近颈线24800，不过好歹拉回到了25000上方，颈线暂时保住了，但是通过观察技术指标，比秃还有下沉的迹象。
1669595316# #白花：一帆风顺；。红花：鸿运当头。
1678586832# #MACD大致对应周期技术指标。零轴相当于60均线，。快慢线相当于5、10均线。技术指标
1676382617# #美国1月份CPI同比上涨6.4%，高于预期。
1678613148# #只为温饱
1671960967# #浙江日新增报告的阳性人数已突破100万例高峰预计将提前到达
1667474451# #近期股市可能的热点：虚拟现实，供销社。
1700857746# #大饼比秃已经突破平台，继续画门还是缓步爬山，短期难预料，只有*中长期向上的概念。
1670107498# #比秃鼻滑落17000～22000箱体下轨
1664932290# #沙皇尼古拉一世在克里米亚战争趋向失败后临终遗言：我一直尽最大的努力，也不缺乏良好的愿望，但我缺乏的是知识和远见我请求前线将士的原谅。
1692243599# #8月16日，恒大地产集团在上交所发布关于收到立案告知书的公告。。公告称，恒大地产集团有限公司于2023年8月16日收到中国证券监督管理委员会下发的《立案告知书》（编号：证监立案字03720230092号），因恒大地产集团涉嫌信息披露违法违规，根据《中华人民共和国证券法》《中华人民人民共和国行
1667995560# #股市热点概念板块。供销社5家涨停，其中2家连板，1家8天8板（天鹅股份）。。新冠治疗5家涨停，其中2家连板。。仿制药5家涨停，其中3家连板。。化学制药5家涨停，其中1家连板。
1657236297# #美联储理事沃勒：仍然不相信中央银行需要数字货币。加密货币的下跌对金融系统没有影响，在当前环境下，投资者对没有明确商业案例的加密货币等产品将失去耐心是合理的。
1698356543# #大饼比秃抄底逃顶指标。现在大饼比秃2年均线（绿线）抄底指标为$30163.41；5倍2年移动均线（红线）为$150817.07；币价刚刚穿越绿线，在$34000附近震荡，离红线这个逃顶指标尚有近5倍的涨幅距离。。现在大饼比秃仍然处于次低部。比特币减半比特比特币币
1670019696# #关于皮带哥许家印的传闻很多，无非是关于生与死的较量，勇敢站出来和躲猫猫的戏剧化。
1656486165# #灯下黑：审计史上最大罚单！49名员工CPA考试作弊，安永被罚1亿美元
1671969753# #洗涤衣物，晒扫庭除
1675462766# #隔夜美股三大指数皆跌，道琼斯在5日均线之下，标普、纳指在5日均线上方。。比秃币产生日线级别的调整，但周K线显示这只是强势调整，暂时受阻于周布林线上轨，周MACD、kDJ都处在金叉状态，因此，比秃币中期走强有望继续。
1678651523# #半夜鸡叫，比秃画门
1661467108# #证券日报头版：A股似弱实固无需过度反应。证券日报头版发表文章称，近一周市场连续下挫，特别是周三的急跌被部分市场人士归结为，华为任正非关于收缩边缘业务的内部表态把“寒气”吹进了股市。还有投资者认为，是部分行业“茅”的中报业绩地雷对股指形成拖累。在笔者看来，本次下跌源自多重因
1676416202# #目前每天只有4千亿左右的成交金额，大部分时间是低于这个数据的，上证指数只能是存量资金在里面博弈。没有增量资金进场，行情难以有大的起色，行情只有结构性的，少数个股借消息拉盘击鼓传花。
