1701961393# #有很多疑团等待揭开
1703326098# #为什么要说圣诞节？12月24日、25日看不懂吗？
1701010096# #转发微博
1696720253# #南阳女主持人含泪控诉南阳这位老师脑回路很清晰：她要爆粗口，你不能怪她，因为她感觉被伤害了。。前有南阳女主持人哭诉甩锅，今有女老师爆粗口不许责怪…..。二位女同志，都提到当地市委领导同志，咋办呀
1698293518# #支持广大用户每一次理性客观、真诚友善的发言，也提醒广大用户参与讨论要就事论事、关注有度，对恶意引导和挑动行为提高警惕、加强辨识。
1691271659# #转发微博
1704092323# #@淮南发布
1696683007# #卓伟要爆的瓜被买走了如果能用金钱买走负面消息，避免负面信息暴露，这种以负面行为交换利益的行为已经涉嫌敲诈了吧？
1703688809# #挖鼻阵地失守
1697009165# #转发微博
1696591807# #上海警方通报4岁女童在海边走失不负责任的家长。令人心碎💔
1696145331# #分享图片
1701736957# #法官普法，“经常自首的朋友都知道，自首也是需要技术的……”
1701239500# #转发微博
1698848906# #转发微博
1695712223# #希望能促成修订法律，完善法律。
1703514020# #千百意爷爷的癌症系误诊假新闻！00后少年让流浪老人命运的齿轮开始转动【内容不实的宣传，引发负面效应。撒谎绝不是正能量！】。媒体不要跟风，且行且珍惜！原作者的28条抖音作品已经清空。。一、网传老人约70岁，实际本人只有56岁；。二、网传其患有癌症，实际本人并无癌症；。三、网传被亲属遗弃，实
1692931400# #转发微博
1698827111# #good
1701694503# #媒体报道“酒驾新标准”系错误解读。
1696498684# #转发微博
1701766576# #说的已经很明白了，居然看不懂，不知道自己错在哪里。按照法律规定，省市一级政府无权发布“戒严令”。襄城区政府官网都没有本次所谓“森林防火戒严令”的消息。。错不可怕，不知道错在哪里，令人失望。知错不认，认了不改，襄城区人民政府这是铁心要“戒严”？热点舆情
1702562298# #转发微博
1698840340# #转发微博
1693401942# #净化网络环境，人人有责！
1692241156# #前一秒阳光明媚，后一秒雷雨大风。迷惑行为大赏
1701418468# #律师谭芳为了打广告编的情感故事，媒体被骗的一脸懵逼。
1697366471# #提示：骑电动二轮、三轮或摩托车，请规范佩戴安全头盔！农民们有了安全，才会幸福！
1698840465# #你要点脸吧！昨天造谣，今天又造谣，你是欠怼！
1694089300# #请依法处理！
1703514882# #网易暴雪复合原作者的28条抖音作品已经清空。。一、网传老人约70岁，实际本人只有56岁；。二、网传其患有癌症，实际本人并无癌症；。三、网传被亲属遗弃，实际其本人与哥哥共同居住生活，并享受低保，无遗弃情况发生。。（2006年—-2019年未与社会接触，在某封闭场所生活）
1701747701# #迷惑行为大赏“戒严”是专用词，中华人民共和国戒严法对如何实施戒严有着明确规定。。襄城区人民政府发布戒严令。官方发布，首先要依法，不要哗众取宠。区一级政府无权发布戒严令。。襄城区，这是违法行为！
1699782188# #转发微博
1698968130# #瞎折腾，踩着基层教师的肩膀，搞所谓的创新给局长自己换政绩。局长亲自动笔撰稿，也是很用心了。
1695022845# #茅房营销，一波三折，恶俗炒一波。
1701325765# #迷惑行为大赏中国网微视中国、中华网文化等单位共同发起并举办的“美丽中国之旅·2023优秀文旅品牌推广大会”在上海举办。。这个大会拉着一些原文旅部门的官员站台。请问，本次大会设立多少个奖项？共有多少城市获奖？。一系列奖项有多少含金量？
1694322301# #互联网出现一个新动态。一些曾受过法律制裁，服刑期满释放的人员，抓住了互联网的风口。借助短视频平台，以维权为名，打着替百姓伸张正义的旗号，采取网络直播、短视频手段开展各种“线下打假”活动。很快就蹿红网络，疯狂吸粉。。维权现场制造矛盾冲突，网上话题炒作，制造负面影响，倒逼当地官方
1702082203# #官方通报警务辅助人员称要查网友个人信息辅警网上不当言行引发舆情。。西安警方根据辅警管理工作规定解除张某劳动合同，并依法予以行政处罚。同时，给予张某原所在部门负直接管理责任的民警田某责令检查，给予负有领导责任的毛某诫勉。
