1697293279# #巴以冲突记者手机APP警报响个不停。难得看到了对生命的尊重～
1694352556# #终于❕。我终于解脱了‼️。然后泪被指纹锁关外面，折腾🉐️晚饭没吃，又饿又热👿找个开锁的，还要我告诉他咋开摊手赶紧找找钥匙🔑，换个电池！这一天过得哼哼哼
1701500964# #卡米尔陪了莫奈短短14年，32岁撒手人寰～莫奈在她临终画像上留下了一颗爱心🖤也是他所有画作里唯一的一颗可怜可怜可怜。这背景音乐听得我好想哭泪
1702045180# #鱼䲆鱻䲜。yúsūxiānyè。好有深意🎣
1695025057# #24/7，365。好chill音乐
1701743206# #考了三年，终于考过了泪泪泪
1696949382# #阿拉伯国家团结起来救救巴勒斯坦～以色列有爹，巴啥都没有
1689932465# #好喜欢这种风格兔子
1694514914# #我去补👀封神，也还好啦！9.4的评分，是不是太过了？商业大片的味道，满屏的🥩哈哈哈哈哈哈姬发是真的帅，少年气和英气！。电影院空调，差点儿没冻僵🥶我～
1703133656# #我在办公室呐喊，去哈尔滨玩儿雪去～东北同事：打住打住！零下二十多，你这么怕冷，还是在成都养着吧允悲允悲允悲
1696858133# #刚刚看到一个分析，真是有意思：。问哈马斯的火箭弹等军火是哪儿来的？。哈马斯囤了2年在黑市上买的～。黑市上的军火哪儿来的？。乌克兰卖的～。乌克兰哪儿来的？。漂亮国从以色列搬来的～。所以。这火箭弹和着，转了一圈～。在自己家炸了？。二哈二哈二哈
1701304484# #发现差距了笑cry。除了个别宝藏音乐，大概率，为啥一个歌手不太火，歌曲本身的深度不够憧憬憧憬憧憬换句话说，就是创作者表达歌曲感情的细腻程度～。真的差别好大求饶
1698627597# #咱们几千年文化，两条半河流贯通国土东西走向，所以咱们都认为我们是一体的，一方有难，八方支援，哪怕是老人，百善孝为先！【卢克文工作室】大江大河文明，熔铸了中国人的血脉！哔哩哔哩动画
1701859049# #痛经靠止痛药缓解有副作用吗我都喝同仁堂的红糖姜枣茶，真的对我太灵了！感恩！
1701608349# #请问鄙视现在还有什么是真的？
1699797674# #咱们国家是严禁毒品的，包括是明令禁止的，还是打擦边球的，都不行！我能理解国外某些人的行为（因为一个人的财富达到一定级别，他所处的世界确实不是我等能理解的），但是不赞同也不认同。bilibili阿牛读财的视频
1704081316# #愿逆风如解意税后十个亿这些🉐️多少个小目标微风
1697640758# #并不简单并不简单并不简单。我现在好爱我自己的状态。可能是因为忙的原因。没有时间去伤春悲秋。充实的工作与工作之后的累。没有患得患失。空船心态爆棚。好爱。💓
1701836363# #早上6度，中午19度哼哼哼。不感冒简直牛逼并不简单
1698064491# #都21世纪了，看到一个孩子会为了一个陌生人给的吃的而单膝跪地的进行感谢～太心酸了悲伤悲伤悲伤
1689898378# #Morning☕️。新发现一首轻音乐，绝了！。听着是嘴角上扬式的快乐兔子
1704086574# #这姐一出场，直播人数直冲3.2亿，这流量谁与争锋？这一冷门歌手昨晚弄哭我了，一首逆光，哭得我苦涩苦涩～比起过去，现在整个乐坛歌曲质量真的降级不少～
1701223427# #真有点愤愤不平了😡这么好的声音，这么好的音乐，资料居然只有女，加拿大可怜可怜可怜太可怜了！词曲都是她自己写的！肿么能这么对待一个才女！
1690970448# #成都大运会蓉宝来了可爱冰墩墩和蓉宝可以做伴了鼓掌鼓掌鼓掌。（据说线下排长龙，机智的我选择网上订购）
1695031465# #中韩不同风格，但出奇的融洽抱一抱抱一抱抱一抱。好适合婚礼💒放的一首温暖的曲子坏笑。JayPark脖子上的纹身耗费了不少粉底液吧？我就在好奇，纹身去哪儿了？允悲允悲允悲bilibili嘻笑堂的视频
1698585775# #普大帝牛逼了，派战斗机去加沙投放救援物资，每个救援物资上还带了降落伞🪂。鼓掌鼓掌鼓掌。加沙
1700784498# #哈哈😄。橘子🍊她他回我了
1700612136# #贵川渝三兄弟吃折耳根大不同我们吃梗梗，凉拌火锅都好吃😋👅
1704169032# #李在明遇袭啧啧啧，高高高高MAX危职业：日韩总统
1693631442# #每天都能看到花宝叽，真是岁月静好啊鼓掌鼓掌鼓掌这背景音乐太魔性了bilibili初九-是熊猫团子也的视频
1689342163# #西藏信众三步一磕前往冈仁波齐朝拜，路遇浅滩阻路时，我都震惊了！1200多公里，平均每天10公里，磕头磕到拉萨！到了冈仁波齐，老人走了，也算是圆满了。纪录片：冈仁波齐
1696899999# #因为淋过雨才懂别人的痛
1701504015# #光是有颜色的～
1702355681# #一直以为家里囤的口罩要放过期，没想到感冒感冒感冒
1690549189# #成都大运会弯弯这个妹纸好可爱
1689991554# #刚刚看到一句话，超级认同：。追求自我欣赏和认同的努力才是最好的努力。。不要在意别人认为，别人以为，别人的眼光。。活出自我，由衷的赞扬和喜欢向上的自己。无论在顺境还是在逆境。一直相信。每个人都有自己的频率和信号。你终会吸引和你同频的人和事。在人生短短几十年里。活出应有的。向阳花开
1699085521# #你负责帮巴勒斯坦，你直播，我们负责秒空🤜🏻🤛🏻
1697715881# #🐰：窦娥冤啊。允悲允悲允悲科普：50si是生产核的厂代号，转型后真用离心机去生产奶油🧁雪糕。（抖转）
1702471711# #断崖式降温，穿暖和点儿，别感冒啦比耶
1695452922# #走走
1696939734# #难得有清醒有良知的犹太人，为教授鼓掌👏。犹太人巴以冲突已致双方超1000人死亡以色列巴勒斯坦冲突
