1647212856# #转就收，不转不主动要，对领导、同事、下属没有分别。
1676392754# #轻易认怂的人，到哪儿都得受欺负。
1627723857# #图6那哑铃，我想起李元霸。。笑cry
1625698071# #看到你这条我还反应了一下。。脑子里先蹦出来的是霍华德·斯塔克doge
1683881182# #约等于双脉冲了。。二哈
1657912984# #不检讨一下，狮子为什么不愿保护她一辈子？
1671467093# #串。。串联战斗部？哆啦A梦吃惊
1689912854# #说实话一般般
1625731729# #李靖何在？！
1682168561# #高叉+白丝。。wsl二哈
1669913898# #手机摄像头打开开始录像：好的，我跟您求助这个人骚扰我，麻烦您把您刚才的话再说一遍？
1696738366# #区块链doge
1680579683# #英文最不好发的音是原音后的L，想读地道了不容易。
1648985152# #哪个省的细则？还是全国通行？
1633085004# #每个助推器，几乎都有长5的运载能力。。就是喷管有点多，芯一级加助推器总共24个。
1673277462# #基于力量差不多，速度明显慢的前提下，才能用
1632500428# #最后这折托的不喜欢，还是伸缩钢托有感觉。。
1650951311# #。。。。
1638027519# #结果还算可以吧。。牛主人赔偿了车主。
1664211451# #尾巴转起来就能起到螺旋桨作用，同时拉屎还可以“喷水推进”doge
1628760956# #石斑啊
1676015457# #擦，我擦，我大擦。。doge
1667091040# #其实是倒放doge
1656943547# #人菜瘾大脾气臭。。
1674020685# #也就是说她还是有老家的。。但就是不回，死也要死在城里doge
1658314673# #大宝剑剌屁股。。
1671252746# #什么叫做“躺匪”
1654747250# #早
1691847920# #谁说王玥波是郭德纲门下？
1679845878# #拍蒜那个是假的，我从没见过不切镜头，一镜到底的拍蒜过程。
1654602353# #最后端着喷子“wrong！”在之后1985《独闯龙潭》中也有相同台词镜头。而那句经典的“I'llbeback！”在《独闯龙潭》中也有出现。
1677344126# #你就不能用东亚黄种人的智商去揣摩低等物种的脑回路
1694964972# #为什么不能是驱逐舰呢？
1676161929# #人类无法靠自身的力量抑制疯狂，美国更不可能凭自觉停止作恶，倘若有一天他暂停了作恶，也是因为外部力量而迫不得已。
1648536597# #good
1668185433# #我军不用可散弹链，一大原因就是回收困难，我们用钢壳子弹，没办法像他们一样拿磁铁一吸就把弹链和弹壳分开二哈
1629699655# #看这服化道，这字幕。。制作团队审美挺堪忧的。
1656905009# #太上老君急急如律令，嘛呢叭咪吽！除你武器！
1628146478# #首先得打击各种狗仔媒体和粉圈推广公司
1624856209# #【终于看清你们的样子！AI修复重现红军战士面容】这是一张彝族红军战士长征到达陕北后的留影。征途漫漫，终于胜利！央视新闻通过AI修复，请你一起感受他们的喜悦。百年奋斗百年征程
1688104586# #黑皮肉粽。。doge
1634285138# #在饭馆。。服务员，XX菜做了吗？我们点完都40分钟了，你看没做的话就退了吧？doge
1647347971# #卧草。。
1657021130# #珠峰那张就是用它拍的吧？
1678376032# #人自己乐意，乐在其中，不乐意也不会请那些“朋友”，别人也是瞎操心。。
1655863884# #灭霸、海拉，奥创、罗南加一块跟复联干的话。。。
1686484056# #不买好不好？一辈子不用去汽修厂
