1697003519# #在建工地吊车倾倒，现场一路人被压身亡！衰
1700957172# #小伙不知社会险恶买切糕。费解
1699094966# #看见自己的孩子被同学欺负，京香阿姨心生一计！
1702086106# #海淀的牛娃们父母都是什么职业～
1693209528# #复杂的情感关系。。
1702211142# #当代柯镇恶，有点实力但是不多，践行武德却从无迟疑！
1695973452# #这衣服设计的！对某些模特来说很不友好～
1690431710# #带着孩子玩过山车，可给吓坏了……泪
1691376572# #男子被打后跑到超市报警！又不是老板打的你，询问老板地理位置还这么嚣张…
1688010503# #有没有一种可能，他是男扮女装！
1692700943# #高铁，前排男子放倒座椅靠背，后面女大学生用脚支撑着座椅抗议，互相僵持近1小时……
1695293048# #网友：深圳光明某学校，家长突袭检查给学校配餐的公司食材，发现大量使用冻肉、卫生极差等多种问题，纷纷选择自己给孩子送餐到学校……。家长突击校外配餐公司发现全是冻肉
1699073970# #没有战壕，开枪就意味着暴露！
1692109936# #有钱人和没钱人的区别……
1694527269# #长春火车站某超市买到套路充电宝，做一锤子买卖，没想到找上了门。。
1703903862# #奔驰新能源汽车最近上分有点严重呀～
1695560119# #销量不算高，也凑凑燃烧的热闹？
1699956577# #只要说是补肾，那就是一道昂贵的美食！费解
1694129734# #缅北佤邦孟波五朵金花园区，狗推集体跑路。
1696991940# #挂错档位可以理解！油门和刹车搞错真理解不了～
1694048366# #和女朋友见面的第一分钟，这谁能顶得住……允悲
1688528107# #小日子相扑的起源，找到了。
1687570360# #转弯让直行！最基本的交通规则都没弄清楚，胡搅蛮缠……怒
1691419310# #鹤壁万达广场，带着狗狗乘坐电梯比卡住！。商场工作人员回应：已对宠物进行止血处理，广场是不允许带宠物进入的！
1703219716# #网友投稿：平台下了一个特惠单，没想到上车后被网约车司机唠叨一路！！不想开就不要开嘛～晕
1690891448# #门口是不是写着欢迎下次光临～
1693966209# #紫色真的很有韵味。
1697699568# #这种司机哪来的勇气上路的。。。
1699869984# #化学品运输车疑似泄漏，人员上去查看发生意外！衰衰
1697277399# #10月12日，山东某景区，两家人吵架双双倒地躺平…
1689401526# #7月14日广东，妈妈骑车带着孩子，在同一个地方，短短的一分钟，摔倒三次！。网友：“孩子能长这么大纯属运气好”。妈妈骑车带娃一分钟摔三次
1693637206# #绍兴某学校门口送孩子的车辆！每次家长会都是一次商业峰会了～
1698485187# #路边拍着被过往的车辆撞飞！这种意外谁能想到呢……
1699497047# #文化自信！那位大妈为何要自己瞧不起自己呢？？
1693715825# #湖南浏阳，车主嫌弃大妈跳广场舞打扰孩子写作业，按喇叭驱赶。。拍摄者：最少按了15分钟，大妈们不为所动。。
1702728296# #不刷碗是大哥最后的倔强！允悲
1693274766# #深圳某出租车打灯左转，视频车丝毫不让，出租车后续的做法你怎么看？衰
1701135056# #明显的变道全责，你提你老公干嘛？？？
1701045565# #网友投稿：11月26日，上海浦东和龙路，这位中年男子将车停在小区人行出口，堵在公共道路人行道，保安制止反被骂……怒
1688897864# #再晚来几秒体力可就撑不住了，当时候不想死都死了…
1696167090# #交警本来准备放你一马！居然蹬鼻子上脸……摊手
1697097847# #关不到位还不能放下来？？？
1693613053# #哗众取宠！辛吉飞都开直播卖科技与狠活了，还有人拿着食物贩卖焦虑赚取流量。
1690688221# #面对醉酒男子骚扰女顾客，这家店的老板和员工太棒了！👍
1687488072# #这谁能受得了，估计好几天都睡不着觉。允悲
1696570449# #南阳女主持人哭诉：南阳动了谁的蛋糕？接受批评但不接受故意抹黑！。为了这次迷笛音乐节，南阳真的用心了！从市委书记到普通市民拿出了十二份的诚意，市民私家车，出租车免费高铁站，机场接接送，很多市民放弃国庆不休假就为了服务好音乐节。。头三天相安无事，没想到轮到散场时出有些村民偷拿东西的幺蛾
1703402343# #开个小超市容易吗？。大妈你这不是偷，你这是进货来了，气得我心脏病都要犯了。。。
1693493908# #业主不交物业费，被小区保安拦着不让从大门走～晕
1701665343# #那既然无罪，那罪魁祸首是不是有罪？？
1698730391# #挺佩服这种人的，心理素质是真好！！！怒
