1695514881# #怀念人壬大火包。。。
1699628502# #为什么？
1701506067# #咖啡鲜花
1691100096# #饮水量与癌症竟然有这么大的关系？
1689571681# #赞
1695333631# #赞
1704229271# #马斯克说：“为了实现目标，我学会了一切必要的知识。我发现大多数人也有这样的能力，但他们往往给自己设定了限制。人们的能力常常超乎他们的想象。我还发现，如果你广泛阅读并与他人交流，几乎可以学会任何事情！”马斯克
1701294375# #赞
1702691749# #从这个意义上来说，优秀的人才的确是免费的！
1703359683# #赞
1702052075# #赞
1701297426# #赞赞赞
1698283409# #作揖
1704042208# #赞赞赞
1689571642# #我会去的酷
1699575590# #时光机带我回到了过去可爱，你也试试？
1693867797# #W婆卖瓜～每日一图每日金句笨鸟读书
1695088438# #现在订单已经突破200万辆了。
1701761876# #人类的奢侈品
1691100234# #无语！
1693867987# #好的制度能把坏人变成好人。
1693868072# #这本书的作者了不起。
1701505990# #坏笑
1698274307# #活到100岁的概率只有0.6%允悲
1695968988# #鲜花
1691100059# #赞
1703423253# #在这个世界上，最伟大的救赎便是自我宽恕。不必执着于往昔，因为它已成为过去式；也不必与现实抗争，因为你必须继续前行。每日金句
1697472620# #赞赞赞
1701726659# #作揖鲜花
1699152967# #这个是比较客观的评价
1702084225# #在中金公司发布的2023年经济预测中，令人惊讶的是，所有的判断结果竟然都是错误的。这听起来似乎有点荒谬，但实际上，这背后隐藏着更深层次的幽默。毕竟，预测的本质，与运营中的数据分析并无太大差别。只要有足够的经济数据和宏观形势分析，预测出大致的趋势并非难事。然而，一家人才济济的金融公司，
1701761930# #很想知道Z金公司的预测啊坏笑
1688852079# #转发微博
1702183832# #吃芒果的芒格哈哈
1703610272# #咖啡作揖
1703359615# #咖啡
1695980679# #牛逼的马斯克马斯克火星
1697362416# #我们终其一生都在寻找那个灵魂相近的人，最后发现，契合度比较高的只有自己允悲
1700926067# #赞赞赞
1689281133# #转发微博
1702691463# #哈哈哈～坏笑
1703359599# #作揖
1689838718# #分享图片
1689832845# #赞
1702052835# #璋兄一年前的视频仍然精彩赞
1701101238# #时光机带我回到了荒诞的去年。。。
1695980607# #咖啡
1688975336# #
1695770654# #别说不可能，只因未开始赞
1692912557# #坏笑
1695522826# #赞
1689281130# #转发微博
1693152007# #赞
1693868013# #没有任何事情是确定的。这个是确定的。
1701725569# #赞
1699694335# #赞咖啡嘻嘻
1689571908# #时光机带我回到了11年前，到今天为止已经跑了8000多公里，计划在未来两年，跑到10000公里。
1696544980# #先驱
1695661196# #咖啡
1689897421# #时光机带我回到了五年前～
1702691489# #咖啡
1704229291# #作揖咖啡
1692912517# #允悲
1702691423# #那一个什么样的制度设计能够留住董宇辉呢？
1695522794# #赞
1696458379# #赞赞赞
1693898806# #赞
1689006872# #赞
1702183804# #马不是在美国出生的，按照目前的美国法律，他应该没有资格参加总统竞选。
1703777659# #曾听长辈们讲述这样一个故事：在那个艰苦的年代，寒冬刺骨之时，我的邻居，一位年迈的老者，已经走到了生命的尽头。每个人都说，他恐怕支撑不过几日了。然而，每隔一段时间，他总会艰难地睁开眼睛，积聚全身的力量，用微弱的声音询问：“过年了吗？”得到的回答总是：“还没呢。”然后，他会再次陷入沉
1699575452# #时光机带我回到了过去可爱，你也试试？
1701783149# #赞赞赞
1704041953# #哈哈哈哈哈哈哈哈哈
1689049491# #历史
1701726773# #转发微博
1693867946# #咖啡
1690779649# #笑cry
1688418541# #一本好书赞
1689571705# #原来如此。。。
1695522483# #鲜花
1696458428# #每天学习6小时赞
1703561865# #每日一图
1703561782# #对人类影响深远的30个发明。。1、手机(美国)，1973年。2、电脑(美国)，1946年。3、高铁(德国)1899年。。4、飞机(美国)，1903年。5、光纤(美国)，1970年。6、卫星(苏联)，1957年。7、光刻机(荷兰)，1984年。8、洗衣机(美国)，1858年。9、B超(美国)，1950年。10、胃镜(德国)，1868年。11、激光(美国)，1958年。12、电
1703779545# #赞咖啡
1702856895# #好像进了一步。
1703359736# #鲜花
1697727330# #赞
1696458345# #收藏
1704042106# #看来是穷疯了！
1689006902# #作揖
1702713062# #哈哈哈～
1695968981# #咖啡
1692595228# #空中上网体验酷
1692912534# #赞
1689832835# #作揖
1688902829# #七年前～
1696458840# #
1702093526# #不知道他们今年还敢不敢许愿？坏笑
