1699178680# #阿拉伯联盟国家，原来的老大是埃及，现在是沙特
1699849904# #西方伪史迟早大白于天下
1691567545# #转发微博
1689431306# #数据上看云南、贵州考清北最困难，事实上你觉得哪个最难？
1694013653# #过去十年对全球经济增长的贡献
1698978754# #有哪些发明违背了它最初的用法?
1693836794# #转发微博
1699231112# #光学卫星照片证实，以色列国防军在加沙中部基本打穿全境
1698979511# #转发微博
1690949468# #越南人怎么想的？
1699748622# #随着互联网的发达，现在全知全能的“专业人士”更多，没有一个领域他是不懂的，没有一项措施他是不批评的，他比专业人士更专业，比科学家更科学
1695175122# #对对子吧，下联是？
1691379634# #防不胜防
1695098865# #转发微博
1703030737# #这就是所谓文明、发达国家人民的智商，到底谁的媒体谎言连篇？
1693467368# #有的说法有争议，你觉得呢？
1700715431# #转发微博
1693615779# #世界网速排名——中国都蓝得发黑
1691202042# #随风潜入夜，润物细无声。希望明年今日，你们能收获一套别墅，就一个心愿：千万别回来了
1692691287# #就连日本都没有安倍铜像，可在我们的台湾省，却给安倍立了一座铜像。梧桐是唯一的选择了
1692783020# #转发微博
1697770620# #喝酱香喝上了头，感觉淡淡的酱香味非常别致
1691119091# #中国七大流域分布图，长江第一大流域。
1696473970# #认同吗，感觉宋太祖高估了
1694472358# #能说出图外的一个就是牛人
1691807365# #转发微博
1699511782# #看到这道菜，你首先想到了什么？
1696640061# #黄巢——历史上最可怕的落榜生！
1695775376# #你有哪几种快乐？
1692675077# #转发微博
1702197335# #公知不是说美国从来只动手不逼逼吗，怎么也学会谴责了？
1703043667# #海南地形图
1703341534# #转发微博
1698897466# #转发微博
1692506449# #转发微博
1702803024# #外地人无法享用的各省美食，你吃过哪些？
1694779958# #转发微博
1699332844# #转发微博
1699583480# #三国演义读的好
1700191760# #转发微博
1691377481# #转发微博
1691202237# #转发微博
1696754607# #经汪老师这么一提醒，你还别说，真是那么回事
1703133311# #能猜出这是哪里就牛了
1692024009# #这下总结全了吧，我就不信还能补充
1696459137# #2021年中国和欧盟GDP对比
1691476202# #转发微博
1696042607# #祖宗和先烈，这是我们的民族之魂，民族信仰！
1691119107# #转发微博
1699496220# #转发微博
1697705219# #我坚信这是真的！
1703659772# #真正意义上的中日最后一战，参战级别非常高，最低都是少将
1702981293# #中国汽车工业又上了一个台阶
1701822273# #文明国家是不会有一丝一毫野蛮的doge。看看法国里昂的市场里卖的鸡肉，真文明
1690677907# #吃不饱的印度人居然是世界最大的大米出口国，原因很简单……
1692502565# #各个国家每年的假期都有多少天？我国有点低啊
1690086241# #转发微博
1699841680# #论历史文物，西方比中国领先了至少8000年，难道不应该反思么
1689687437# #有道理
1701253123# #四幅画，画出了中国人的艰辛，画出了中国人筚路蓝缕、卧薪尝胆、忍辱负重、自强不息的民族精神，出身寒微不是耻辱，能屈能伸方为丈夫。致敬伟大的先辈！（转自：）
1703056269# #致富新路子——坐飞机背大米到韩国卖，居然能挣大钱。是的，坐飞机，背着大米到韩国卖，能挣到钱，这不是缅北高薪一类的诈骗信息，是真事。话说韩国的发达果然与众不同！
1699601524# #安徽：没错，我就是那个显眼包
1698576195# #中国人爱自己的领袖，本质上和个人崇拜没有关系，因为中国人的骨子里有家国天下的基因，这是祖先给我们留下的最宝贵财富。
1695699074# #十八世纪英国皇家战舰
1690601835# #中国各个省份男性身高排名分布情况。广东平均身高169.78、山东平均身高175.44。河南平均身高171.49、江苏平均身高171.57。山东大汉果然名不虚传
1699007849# #公知们，中国的科技发展就靠你们了，赶快的提意见，吐槽一下中国不行的地方。
1703930378# #转发微博
1698494913# #世界app巨头
1703988811# #如此看来，青藏高原果真是世界屋脊
1690857161# #天然的抽水机比南水北调强多了！。这次京津冀补水作业，补得有点太狠了
1696556866# #网络和现实总是出现两极分化，网络上哀鸿遍野，现实里国泰民安，可以想象网络上的某些人是什么角色。
1690266188# #转发微博
1698450451# #西工大牛逼了
1697349099# #欧盟严厉警告TikTok：。立刻清除巴以冲突有害信息！。否则重罚！。。TiKTok首席执行官周受资表示，他们确实已收到了欧盟内部市场专员布雷顿的信件，信中表达了严厉的措辞。。。问题来了：有害信息是什么信息，是言论自由吗？
1703238053# #知道腰间跨着是什么的人，恐怕最年轻也得80后了吧
1696578286# #中国十大打工大省，看到了江苏，这……
1700994894# #转发微博
1693296986# #全国各省市GDP倒数第一县（县级市），能不能把江苏那个开除县籍？
1695866726# #明代总督、巡抚示意图
1691649932# #转发微博
1693539308# #所以，她们到底是怎么想的？
1691384460# #转发微博
1696647211# #澳门挣澳门花，也就那样吧
1689730623# #这是瑜伽吗？doge
1692069953# #转发微博
1700136362# #美国各州州旗
1703593468# #新中国成立后收复的领土，我猜果粉准备集结了
1690989908# #这种人，除了润已经无药可救了
1691546461# #东北没有一线城市，连三线城市都没有吗？
1693194226# #转发微博
1700367383# #到底是什么意思？
1695272506# #转发微博
1692583203# #好像真是这么回事？
1692570578# #转发微博
1700191320# #转发微博
1700559483# #言论自由是一点没有啊
1698380841# #护士夜间笔录发生的惨案
1688956171# #把我整不会了，这是啥意思？
