1698045433# #趁着巴以冲突，日本偷偷就排了
1691973301# #医药反腐风暴已席卷20省份，被查书记院长升至176位。截至8月12日，今年全国至少已有176位医院院长、书记被查，医药反腐席卷20余省份，本轮医药反腐不仅严查医药代表，医院也查科室、查医生。。各大医院书记院长被抓后痛哭流涕深圳小天超话
1690847309# #润人好消息，快移民。澳洲内政部公佈，由7月1日起18岁至35岁的BNO护照持有人，可以申请澳洲工作假期签证来澳洲工作，最长可以居留三年。。这个停留期包括为期12个月的三个独立的签证，至于该工作假期签证跟其他国家的工作假期签证，最大不同是无「特定工作要求」，包括需到农场工作至少半年，以及不可以
1699512689# #听说，广东长大的女孩子，都不怕蟑螂，真的吗？。广东女孩子都不怕蟑螂
1695303089# #一道简简单单的家常菜，豆豉鲮鱼炒苦瓜，做法简单又特别下饭。。美食分享深圳小天超话
1699071188# #深圳读书月将开展逾2000场主题活动。自2000年起步，持续23年的深圳读书月。每年11月，深圳人都会共赴与书的约定，来一场与思想的邂逅。。截至2022年底，深圳共有公共图书馆(室)779个，其中包含市级公共图书馆3个、区级公共图书馆9个、街道及以下基层图书馆(室)767个，另外还有各类自助图书馆307个，共同
1694062564# #英国会报告称台湾是「独立国家」，美参院不跟进：维持现况。英国国会下议院外交事务委员会近日罕见在官方文件内称台湾为「独立国家」。。美国参议院多数党领袖舒默（ChuckSchumer）今天在国会大厦召开记者会时被问及此事，针对美国国会或至少参议院是否应跟进，他直接了当地说：「不。」。舒默表示，他认
1693149704# #《2023香港小姐竞选》佳丽泳装现身最后采排。。2023香港小姐获奖名单深圳小天超话
1690450844# #港媒称港媒赚钱跑输北京。港媒报道，有猎头公司发布的《2023上半年人才流动与薪酬趋势报告》指出，今年上半年越来越多内地的年轻人正涌向新一线城市，热门城市前三分别为上海、北京和深圳。报告还提到，北京的平均月薪达到18,976人民币（约20,708港元），排名全国最高，而上海的薪资涨幅在近六年来最高
1692411979# #城主你看，那是来讨伐匈奴的汉军吗？。城主：不，那是天朝放小长假了。
1693642550# #听说有个以前在资本里的第四权，受不了封控润日本，然后把自己饿死了，死前还在“忧心忡忡”中国饿殍遍野。
1696739736# #感谢革命先烈用巨大的牺牲赶走了侵略者，不然今天镜头里的可能是中国小女孩。
1696408476# #想减肥，骑着单车溜达，发现饿了，。在路边吃个杂粮饼，。是不是热量又回去了费解。煎饼果子来一套深圳小天超话
1692410843# #好多漂亮的汉服小姐姐，。怪不得白居易会说“春宵苦短日高起，从此君王不早朝”。。汉服摄影深圳小天超话
1697357683# #中秋节都过去半个月了，还剩很多月饼怎么办？。试试空气炸锅月饼吧，把月饼烤成片，你会发现……。还是差不多摊手。月饼里的刀叉对广东人的重要性
1689596867# #美国威胁中国管制稀有金属自招损害。中国日前公布，基于国家安全理由，8月起限制镓与锗两款半导体关键矿物出口。对此美国白宫国家安全顾问沙利文早前接受哥伦比亚广播公司(CBS)访问时指，中国限制晶片金属的举措只会自招损害。。沙利文续指，中国计划对半导体、电信和电动车行业使用的两种金属出口实行限
1688948121# #法国政府宣布全国禁止出售烟花至本周六，防止有人在周五法国国庆日生事。。法国多地日前爆发骚乱，抗议青年被警员开枪射杀，期间示威民众利用烟花作为对抗警员的武器。。法国政府周日刊宪，禁止出售、运输及持有烟花，直至本周六为止，但当局筹办的国庆烟花庆祝活动不受此限。。法国骚乱深圳小天超话
1691054938# #女港毒拒绝认罪，花10万外逃英国被拦截。8名港毒分子于2019年11月2日的港岛区暴动中被捕，全部被控以暴动罪名。其中29岁女港毒林梓桥被捕后，被法庭保释候审。但她于2022年2月16日早上，在香港国际机场企图登上一班专为运载宠物（及其物主）而设的航班，其目的地是英国，意图潜逃离港。林梓桥当时持有一
1688438869# #李家超：将终身追捕国安通缉犯，亲戚朋友都可领悬赏。今日李家在回应媒体提问时表示，警方国安处公布8名通缉犯身份，行动是履行责任维护国家安全，是应当的做法，他支持及贊成。。他强调危害国安是严重罪行，执法必严，终身追究其法律责任，「无论他们走到天涯海角，我们都会终身追捕这些罪犯」。他指，
1691027323# #香港街头空铺增加，有港媒认为是内地客挤走外国客。对于空铺增加，港媒专栏作者认为是因为香港吸引旅客能力大不如前，其上週末闲游尖沙咀，又真的见街上普遍话人佔一半以上，且这边一堆黄帽仔；那边一堆红帽仔旅游人士，好不热闹；但外国人则少之又少。。至于尖沙咀某大商场内，就更加有一堆游客「蹲在地
1698134938# #没事发几个AI图，可以做头像。无水印。ai图
1691032232# #台媒称王菲爱女窦靖童国外结婚！当事人否认。。天后王菲的爱女窦靖童，遗传了她的好歌喉。台媒爆料，指出窦靖童已经在国外登记结婚，对象则是与她在2021年合作电影的女导演李孟桥。二人在2021年合作电影《只是一次偶然的旅行》，两人今年也还合作了新剧《她的生存之道》。。台媒还称窦靖童与1985年生的李
1696299859# #就中国这种国内气氛，BBC、CNN隔一天说一次中国经济要崩，拜登还专门弄了个中国经济崩溃将对美国经济造成风险的演讲。。快乐教育出来的英美底层，都是天然被洗脑者，真好骗。。深圳小天超话
1694127512# #9月8日深圳地铁运营方案调整如下：1、1号线岗厦至罗湖、2&8号线市民中心至盐田路、3号线华新至水贝、5号线布心至黄贝岭、9号线银湖至文锦区段双方向暂停运营服务，其余区段维持有限度运营，行车间隔6-8分钟左右。。深圳泄洪深圳小天超话
1693635794# #明明核污水有60多种放射性物质，日本只验危害最小的氚这一种，然后说浓度很低，很安全。。谁在炒作只有中国反对日本排放核污水深圳小天超话
1698639381# #盎撒第一定律：如果美国人污蔑你做了什么坏事儿，那么九成九他们干过，如果他们没有干过，那就是他们正在干。盎撒第二定律：如果美国人污蔑你有某种能力，那么你最好真的有。
1695983852# #美国应该直接制裁承载伊朗军舰的海水的供应链。
1689605580# #近期有润人通过偷渡方式进入美国，并在美国对祖国大加污蔑。。有鉴于此，心系祖国的战忽局北美司司长、中国崩溃论做者章家敦坐不住了，必须扼杀这股歪风邪气！。于是，他勇敢的站上美国电视台，指这些润人都是解放军假扮的，并把润人穿越森林时没东西吃，捕抓动物的行为成为解放军的秘密仪式。。听了章司
1688344017# #日本天皇：你们中国底层贫民天天吃“姬饭”？日本大名：你们中国普通百姓吃得比天皇还好？你是日本村民，看到中国普通百姓只要靠着自己的勤劳，吃的穿的比你这个天天出去砍人抢劫还好，你恨不恨？日本武士：摔桌子，老子要去中国抢劫！
