1692780922# #单身狗单身狗单身狗单身狗单身狗
1693965444# #我姐让我国庆回家吃螃蟹打call开心！
1689353423# #动画看了两遍之后，今天又二刷了漫画，真好看啊苦涩
1691114805# #绝！绝对是我想看的电影，精孤开始期待了
1702143253# #再铁打的人也经不住这么高强度的行程啊失望
1698632467# #一个月前二阳本以为自己已经好差不多了，结果这两天突然觉得肺有点堵，这会儿咳嗽又厉害了，去挂水去了。
1698142175# #好极了
1697366092# #进100s以内，纪念一下
1700373652# #2号的高铁票和酒店订好咯彩虹屁开心心
1692369134# #孤注一掷能够用低成本完成社会价值、商业价值、艺术价值三者的统一，在我看来是把有限的资源和有尺度的表达发挥到最极限的影片，堪比在荆棘笼子里吹了一个最大而不破裂的气球。
1691997313# #前几周熬的有些销魂了，这周开始重新回到学习的状态，嘿嘿嘿
1697602889# #我不行了
1691131011# #人有两颗心，你的是开心
1692329733# #终于，开始支棱了
1692251315# #孤注一掷东南亚上映贴脸输出，我们小孤，是真正的孤勇者笑cry
1701091454# #我知道我想在不累乐园里看什么了，想看莲莲不同风格的古装造型写真，如果能在这里玩玩cosplay或许也不错憧憬
1695313678# #热1是你的福报捏开学季
1701702917# #爱豆，或者说歌手，不能演好戏其实挺伪命题的。大荧幕上有优异表现的歌手很多，天王天后都有。再说像莲这种，从MV就能看出来他对于镜头的捕捉能力、对于特写的表现能力是很强的，恰好这一特质又是符合电影荧幕的需求。说爱豆不能演好戏的，有没有可能首先这些人爱豆也当的也不合格呢。
1691980524# #今天跟家人聊天才发现，我对于古装戏审美还是有点子强迫症的，很多人觉得经典的古装剧，我小时候都不是很喜欢，还包括欢天喜地七仙女、小鱼儿与花无缺（谢霆锋那个版本）……劝退我的都是妆造问题，我很不喜欢披头散发、穿短裤长靴、头上插把手的电视剧=。=
1695306113# #很喜欢他一些通古博今的文章，他平时行文周全、稳重而又平实，只有在这些通古博今的文章里能感受到他纵横捭阖的才志和豪迈，文章读起来快意通畅、一气呵成、情真意挚，能感受到他至深至纯的赤子心。
1699543473# #又做了两张。我今天真滴很闲丰收了。---------。把另外3张也加上了害羞
1689046967# #好像急于转型的小生都在扎堆演消防员题材、特种兵题材的影视剧，但是我一部都没看过，唯一的一部特种兵题材还是《士兵突击》。跟朋友聊了一下，我们就在猜测是不是小生们想要复刻吴京的路线，但是吴京本身精气神特殊根本没法复刻，况且战狼1&amp;2是吴京自导自演，所以无论是演得好还是影片好最终收益都是
1692858409# #鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨鲨
1691925463# #一只蟑螂爬来了，爬来了，爬来了，一只蟑螂爬来了，快快捉住
1693148199# #速速抬上来让我康康速速抬上来让我康康速速抬上来让我康康可怜
1704164859# #kb姐姐的屏保，真漂亮，太漂亮了，总是忍不住打开手机舔屏
1698407089# #鞠躬尽瘁，死而后已
1700188633# #信写完了，我好肉麻……害羞
1688596628# #泪
1691235638# #2e了鼓掌
1703251275# #效果很好，有被媚到，孩子很开心，下次再来亲亲
1694604644# #浅谈一下zyx影视道路的独特性。1.会挑本子，肯放弃番位本位的思想，注重角色的完成度。zyx的影视道路走的很稳，他的很多配角也接的很合适。试问能有多少个流量肯在自己如日中天的时候接一些非一番的角色？谁能放得下这种不甘心呢？在一些量身定做的剧作里兜兜转转固然舒适，能稳定挣钱，能稳定吸粉。在
1692792736# #电影孤注一掷四刷发现，第一次催债的上门那里，阿天他爸妈以为阿天是在玩游戏借的网贷，后面应该他妈收拾阿天的东西翻出来写满了“庄闲”的本子和一堆信用卡才意识到阿天是在赌博。
1700312891# #嗨死我了嗨死我了嗨死我了嗨死我了嗨死我了嗨死我了，好热好热好热好热好热好热好热！！！！
1691544653# #天呐，你们看到小雨说她没有下注的地方会觉得可惜吗？。我完全不会！！。当阿天为他赌赢了狂喜的时候，我想的是：完了，这下中了，尝到甜头了，小雨也得变赌狗了。。后面小雨说她取消下注的时候，我想的是：还好，小雨起码还没参与进来，又完了，王大陆要吃人了。。我当时只觉得小雨做的对！以及阿天那个样
1696067746# #在姐姐的强烈要求下我拖着病体出门转了转，如果天气天天这么好就好了悲伤
1691376989# #电影孤注一掷我想说几个电影里面比较重要的点：。1.陆经理只是经理，他根本算不上什么老大，你有见过哪个老大会给新来的员工培训业务吗？整个工厂只有他和阿才两个人算是管理层，而且应该是整个集团的小管理层。阿才更像是打手的角色，负责人力资源管理。陆经理更像是PM，负责业务经营。他和阿才就是
1700193011# #清朗
1701494778# #出门！开拔重庆！
1692500193# #这话说的，我以前就不爱看，看到好莱坞、超英、漫威、国外大片都绕着走，真正吸引我进电影院的是大圣归来之后的国产电影，也会看印度日本的片子，我个人偏向剧情片，就是不爱看国外大片，报看。
1701783678# #这种天气困在半路这个是真的会冻死人的，民警辛苦了
1692187398# #笑嘻了
1688527244# #要是真排海，就带着太平洋岛国和东亚国家的船队成群结队去日本近海采样，天天采天天测然后隔段时间发评估报告，日本不要脸，我们也不能让它过得舒坦
1695283732# #现在小朋友吃真好，太空授课真的还挺有意思的，突然让我想起了童年对于科学的向往开学季
1700293841# #嘿嘿嘿嘿，出门了
1692878223# #哇靠！全片最温情的片段居然是张艺兴的想法！好的演员果真是可以反哺影视创作的！
1693213055# #中国驻日使领馆接到大量来自日国内的骚扰电话。不愧是你啊小日本，恶人先告状是吧微笑
1695658242# #如果是我一个人出去玩我会更喜欢看人，观察每个出来游玩的人的状态，想象着数千年来就是在这样的土地上，在和平的时光里，百姓们也会是这样在街上游玩嬉戏吧。好喜欢这种烟火气抱一抱
1701519873# #艺兴给gai介绍这是贝壳的时候，有点像介绍屋头人的感觉害羞
1697438290# #援助物资终于可以进去了🙏🙏
1703660023# #每次看网上的手工视频我都丝毫不怀疑中国古代手工艺人的技艺得精湛到什么程度，哪怕很多工艺失传了，能工巧匠的基因绝对没有失传。真是活生生看到印章、绒花、滴胶、流麻等等各种手工赛道在短短几年里越来越卷，越做越复杂越做越好看，现在偶尔看到一个手工视频，我都会惊呼一句卧槽现在这个玩意儿已经
1687770017# #小红靠捧，大红靠命，长红靠人品。
1704084552# #我去，第一次见共创微博
1692100317# #2开头了！又是一个新阶段抱一抱
1704861133# #街6，真的有让你小子蹭到😏
1702617128# #不是啊，什么鬼，阅读量怎么这么高？刚发出去，无转无评无赞，12.5w，吓死我算了
1693992468# #之前说自己看艺兴访谈看焦虑了，给你们看一下我4-8月份的阅读学习时间，8月份真的是没怎么看书。我现在确实焦虑得一批，学习上中断就算了，主要是工作上我也有一些想做的事情被我一直拖着还没开展。看样子我也得闭闭关了单身狗
1704814649# #怎么办，我想推荐传说走玄学宣发：龙年第一天看成龙电影，彩头好。
1699613211# #冷酷冷静如我酷依然每次看完莲直播都觉得恋爱脑长出来了害羞
1702313056# #我有点好奇啊，专辑处于非售卖状态的话，该不会新粉其实都听不了旧专辑了吧？
1700101239# #全内娱最关注时政的粉圈出现了，那就是俺们莲池笑而不语
1695707177# #很难过，一落地我就接到噩耗，我想吃的蒜爆鱼他家休息了悲伤悲伤
1700308747# #太好了！！还好这场我写信了！！丰收了
1699437938# #然后又一句大逆不道，也想看莲演李后主，最近脑子里一直在咂摸那句“梦里不知身是客，一晌贪欢”，感觉他身上那种弱不禁风、漫不经心的气质也很适合这种，尤其想看他能演午夜梦醒迷离怅然的样子。
1696047980# #地铁繁花全流程通关了，锈湖这一作的音乐真是绝了，好听到不行。
1691133873# #小孤子5kw了，估计晚上能到5700w左右吧。
1691394359# #嘿嘿，之前这条发了粉见，现在想转出来了送花花
1690251764# #看到这里，笑出了声。
