1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1694588121# #真的很想去揍东电和某日政府
1699599798# #以总理同意暂停在加沙北部特定区域行动再打下去，拜登就完犊子了，所以拜登欢呼，问题是，暂停多久？加沙被占领的地方是不是就不还了。
1698492131# #根据加拿大的提议，大会试图对10月7日发生的哈马斯对以色列恐怖袭击的修正案进行投票。然而，它未能获得所需的三分之二多数“赞成”票（88票赞成，55票反对，23票弃权），因此没有被接受，这一决定在大厅里得到了掌声。。。西方一言堂的时代结束了。。。巴以冲突不负责任转发
1694342007# #突然想起来那个喜欢欺负人的女生，然后我是怎么治她的哈哈哈哈哈哈。魔女蓝。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1692008237# #鱼叉海扇蛤（学名：Chlamyshastata）。英文俗名：spearscallop矛扇贝,spinyscallop刺扇贝或swimmingscallop游泳扇贝（这名可太奇怪了）。发现于北美西海岸从阿拉斯加湾到加利福尼亚州圣地亚哥的海域。。。鱼叉海扇蛤生活在低潮线至150米深度之间的近海带的海底、软沉积物或岩石上，特别是在
1701009725# #射手座是不会有归属感的这啥热搜？？？。射手座一直都在自己的世界里安如泰山好不好，他人的世界永远是他人的，和射手无关，这才是真相。。应该说，射手无法归属于别人，因为射手一出生就只属于自己。
1689915252# #这个昨天推上看到，因为太过恶心，没有转发
1697666147# #准备睡觉了，这个世界，明天会好一点吗？。。巴总统宣布全国哀悼三天不负责任转发
1695645957# #塞隆和她的。。。。儿子？。。不负责任转发
1688803708# #她用扫描仪来拍摄朋友花园里的植物——英国女摄影师EllenHoverkamp作品欣赏。。“这是摄影吗？”。我觉得是这样的。有针孔相机摄影和扫描仪摄影。无论如何，其重要性在于照片的质量和共鸣，而不是制作照片的机器的费用或操作。当扫描仪扫过玻璃上静止的物体时，捕获的高分辨率细节以及一致的光线和景
1701122614# #“人权组织指控以色列从加沙的尸体上‘窃取’器官”。。️《欧洲新闻》写道：根据美国CNN网络2008年的一项调查，以色列被认为是全球非法人体器官贸易的最大中心。Euro-MedMonitor声称以色列是“世界上以‘安全威慑’为借口进行人体器官非法交易的最大中心之一”。。巴以冲突
1696853483# #情况大概是这样的：犹太人是公元70年左右被罗马人赶出中东的，距今大概2000年。印第安人是1600-1800年间被欧洲人几乎灭绝在美洲大陆的，距今3-400年。如果说犹太人有在中东复国的权利，那么印第安人是不是应该在美洲复国？。。要算账吗？一起算比较公平！哈哈哈哈哈哈
1698175388# #“你想知道为什么我们轰炸妇女和儿童而不受惩罚？！看看这块石头！”。你看你看，巴勒斯坦人朝我们以色列人扔石头呢，所以我们要轰炸她们，女人，孩子，老弱病残都一视同仁！。。看到一个网友说：约旦河西岸的犹太定居者经常向巴勒斯坦人（包括儿童）投掷石块和射击子弹。在耶路撒冷，犹太宗教狂热分子也
1698604728# #今天（10/29），巴基斯坦俾路支省的奎达，人民继续声援巴勒斯坦，要去停火。。。哈马斯持续向以色列发射大量火箭弹巴以冲突
1699724055# #发布了头条文章：《地球上毒性最强的动物之一——蓝圈章鱼》
1701637776# #昨天看到马林卡的蓝黄旗被烧掉了
1700090935# #说不定又是犹太复国主义者自己干的！费解费解费解费解
1695709889# #刚送蛋总上学回来，又路过这个公寓楼，蛋总都觉得这个造了好久了，快三年了吧，最近才拆了脚手架，看看啥时候能完工。。水深火热的巴黎
1703010233# #以色列狂轰滥炸加沙已经75天，但哈马斯仍然在每天攻击以色列的军官，甚至还轰炸了特拉维夫，这有点不真实。。。巴以冲突
1699140495# #大规模的亲巴勒斯坦集会在美国华盛顿特区举行。集会规模如此之大，原定的自由广场集会地点已经无法容纳人群。。看看，这么多的人民要求停战，残忍的执政者依然继续屠杀，这还不能说明他们的民主自由根本就是一场梦吗？。。巴以冲突
1701013888# #再见玛雅，再见shukran！。哈马斯放出的大量释放人质的视频，都在打脸以色列。。哈马斯至今释放的人质都是对哈马斯一片赞誉，害得以色列官方都对所有被释放的人质发出了禁声令，谁是恶魔？。。巴以冲突不负责任转发
1698919588# #起床了，一边喝咖啡一边看群友聊以色列人包装自己最聪明，最文明，我快笑喷了。。。昨晚看到一个新闻：欧美有个六岁男孩在玩愤怒的小鸟这个游戏，突然看到以色列买的植入广告，里面都是爆炸，屠城，把小孩吓哭了。。这种脑残行为是哪个大聪明想出来的？就算装可怜70年，现在被哈马斯打痛了，歇斯底里，丧
1690305014# #终于达成了老母亲的一个心愿——把咪蛋的画变成“毛绒玩具”，虽然是AI绘画，但也几可乱真，给蛋总看时她也说，好可爱！。。创意儿童画
1691992455# #未来用AI制作的影像作品，可以在家做出好莱坞大片效果。。。不负责任转发
1703771487# #治愈系小咪蛋超话蛋总在和堂姐玩化妆游戏，化完跟我视频臭美，可以看到她长大以后的样子了。
1687766778# #唐嵌松石金发饰(618–907)。这件发饰的镶爪缺失，但顶部是一件非常精美的唐代金丝细工作品，衬托着雕刻的绿松石。。。魔女屋lyl
1688136958# #麻省理工学院发布了一段模拟视频，描绘了美国和俄罗斯之间核战争的后果。。英国和法国都拥有核能力，而且北大西洋公约第五条规定他们有义务保护美国，所以俄罗斯也会攻击他们。超过50亿人可能死于爆炸、辐射和饥饿，其中包括约99%的人口，美国和欧洲、俄罗斯和中国的人口。。。不负责任转发
1693472649# #休息一下，开始刷推。。。不负责任转发
1698322201# #人类的耻辱——就是这种思路，恶魔都说自己是来拯救地球的。。。巴以冲突不负责任转发
1699375337# #干嘛又扯胡锡进？这批鱿鱼洗地的质量太差了，以色列花钱洗了个寂寞汗
1698599631# #一神教的理论就是“信我得永生”，其他生灵皆可抛，非常落后。。2023年还有拿着圣经在联合国要土地，简直太原始了，何况，可萨犹太人是假犹太人，一边信犹太教，一边信萨满教的，有啥资格拿着圣经说事？？。。不负责任转发
1700724094# #治愈系小咪蛋超话蛋总昨晚睡前画的两只跳舞的魔法猫女郎。。萌娃萌画儿童画
