1697015644# #真的假的？？？？？
1689652354# #砸人、砸车！多地高层住宅外墙脱落致多人受伤，谁该担责
1701783896# #受贿1647万，国家粮食和物资储备局原局长张务锋被判10年
1698683826# #“那是我弟弟，请带他过来”“妈妈，妈妈”兄妹三人都在
1697633732# #转发微博
1701959293# #非法收受财物8823万！青海省委原常委李杰翔受贿案一审开庭
1703943554# #最新！央行同意支付宝(中国)变更为无实际控制人
1697530835# #必须全力扭转人不如狗的局面！崇州恶狗伤人。。四川崇州，没有咬人的那条狗的主人找到了，但咬人的黑狗的主人至今没有现身！。。据观察者网消息，10月16日，一则视频中，一个2岁多女孩被黑色恶犬撕咬多次，尽管孩子妈妈极力掩护，都不能从狗嘴里救下孩子，最后还是清洁阿姨拿来了长柄拖把才撵走恶狗。小
1690808860# #转发微博
1690781282# #促进民营经济发展的大旗竖起来了，推动共同富裕的大旗绝不能倒下。。为了恢复和扩大消费，发改委出台二十条措施。。此前，为了促进民营经济发展，国家也是出台一系列举措。。以上这些，都是解决当前中国经济发展困局的药方。。不过，民营经济再发展，不管民营企业是生产产品还是提供服务，都是要拿到市场进
1693487468# #国防部辟谣中国海军093型核潜艇在台海发生意外：纯属谣言
1692113809# #真有意思！当有关夏威夷火灾的各种传言在不断发酵，并纷纷指出，这不是一场自然灾难时，国内的新闻媒体居然义正辞严地站出来，说这些传言都是假的！。假不假，怎么也轮不到你去辩护，关键是你到现场了吗，你亲历火灾了吗，你在当地做了深入采访了吗？如果以上两点都不存在，那你用于辟谣的材料只不过是
1700665723# #转发微博
1692977184# #朱旭东被查！
1695302009# #不矫柔不做作，她是最美的女人
1695641894# #确定身份，辽宁阜新女子被碎尸案告破！
1692345987# #北师大，呵呵，不奇怪。
1695351420# #转发微博
1689337155# #四川公布打击编造“武汉车祸身亡小学生母亲收钱”等10起网络谣言案例
1703597291# #中共中央举行的纪念毛泽东同志诞辰120周年座谈会，对毛主席的历史定位是：毛泽东同志是伟大的马克思主义者，伟大的无产阶级革命家、战略家、理论家，是马克思主义中国化的伟大开拓者，是近代以来中国伟大的爱国者和民族英雄，是党的第一代中央领导集体的核心，是领导中国人民彻底改变自己命运和国家面
1696829123# #山东省政协原党组成员、副主席孙述涛严重违纪违法被开除党籍和公职。。　　中央纪委国家监委网站讯经中共中央批准，中央纪委国家监委对山东省政协原党组成员、副主席孙述涛严重违纪违法问题进行了立案审查调查。。。　　经查，孙述涛丧失理想信念，背弃初心使命，对党不忠诚不老实，长期欺骗组织，对抗组
1703835485# #刑法修正案（十二）通过：加大对行贿犯罪惩治力度
1699281433# #襄阳卫健委通报医院院长贩卖出生证：联系多部门介入调查|赵玲|张卓|出生证明网易订阅襄阳卫健委通报医院院长贩卖出生证：联系多部门介入调查,襄阳,赵玲,张卓,卫健委,出生证明（分享自
1696298402# #内蒙古高考加分改革步入实施阶段：少数民族考生从加10分改为5分
1700815823# #泰国移民局公布中国乞讨者调查结果：均通过正规渠道入境部分持学生签证入境
1702176592# #转发微博
1702176481# #转发微博
1703385572# #转发微博
