1600642006# #厦门-音乐广场等
1561071138# #有一天，你离开家乡。来到西北"流浪"。漫山遍野牛羊见你不躲藏。感觉你不曾离开过一样
1608768479# #上海外滩百年变迁
1555108444# #魏文峰，老爸评测创始人：“开学了，您给孩子用的包书皮有毒吗”
1568856763# #尊木公园
1575715601# #七宝老街
1673603554# #豫园灯会
1578945780# #用头打球真好玩！
1610517711# #左庭右院牛肉火锅
1616543441# #静安雕塑公园
1579308711# #连体人的生活
1537857380# #四个老头以另类的表现手法演溢，只有乐器才能演奏出来的节奏，而夸张的外星人脸和相互的默契配合度，绝配！
1563576606# #辽宁沈阳
1576975348# #中日抽嘴比赛
1576020490# #岁月催人老
1558133901# #旅游陷阱
1543700923# #税务知识（0123）。固定资产的税收那些事儿~。固定资产大家都清楚，是指企业为生产产品、提供劳务、出租或者经营管理而持有的、使用时间超过12个月的非货币性资产，包括房屋、建筑物、机器、机械、运输工具以及其他与生产经营活动有关的设备、器具、工具等。那么固定资产如何确定其计税依据，其折旧范围
1534208107# #税务知识（0029）。单位接受个人提供的服务，但是未取得发票只有对方的收款证明，是否可以在企业所得税前扣除？。根据《国家税务总局关于发布<企业所得税税前扣除凭证管理办法>的公告》（国家税务总局公告2018年第28号）第九条规定，企业在境内发生的支出项目属于增值税应税项目(以下简称“应税项目”)的
1534583466# #税务知识（0041）。公司保密制度（通用版）①。目录。第一章总则。第二章保密范围。第三章密级分类。第四章保密措施。第五章保密环节。第六章违纪处理。第七章附则。第一章总则。第一条根据国家相关规定，结合《公司知识产权管理规定》及具体情况，为保障公司整体利益和长远利益，使公司长期、稳定、高效
1581116531# #🧘‍♂️以前睡觉叫懒虫，现在睡觉叫贡献。一人睡觉，全家光荣，全家睡觉，精忠报国。。😁现在上床就是梦游，下床就是周边游，客厅就是省内游，厨房、洗手间、阳台就是国内游，下楼丢垃圾已经是出国游了，出小区就是太空漫游，能不能回来就不知道喽。偷笑偷笑。哈喽！旅游快乐！😁😁😁
1534594598# #税务知识（0043）。管理费用明细科目大全①。1、管理费用—工资—基本工资/加班费/临时工工资。说明：本二级科目包含三个三级科目，其中“工资”是二级科目，在这个二级科目之下又设有三个三级科目“基本工资”，“加班费”，“临时工工资”。这里的“基本工资”是指公司管理部门的正式职工应得的工资扣除
1548898543# #税务知识（0146）。物业管理企业会计分录大全！。一、所设相关会计科目。1、资产类科目：库存现金、银行存款、其他货币资金短期投资、应收票据、应收账款、预付账款其他应收款、长期待摊费用、固定资产、低值易耗品、固定资产清理、累计折旧、在建工程等。。2、负债类科目：应付职工薪酬、应付票据、应付账
1534590353# #税务知识（0042）。何种情况下企业所得税申请核定征收或者采用查账征收方式？。一般情况下，纳税人对企业所得税核定征收规定不够了解，不知道到底是采用查账征收方式好，或是申请定额核定征收好，还是申请核定其应税所得率征收好。其实，上述几种方式的确定主要取决于企业帐务核算水平和帐务健全程度。。
1555799325# #罕见的天堂鸟，求偶的时候还跳着优美舞蹈
1664857055# #苏州河（丹巴路3号）
1534394055# #身体各器官杀手就藏在你身边！一张表全部列出
1615855086# #胡不字（大山）
1605221926# #无花果树（澳洲）
1596852806# #世界上十大奇人
1537779793# #为啥中秋节要吃芋艿？剥芋艿，手痒怎么办？。今天就是“八月半”了！老上海都知道，这天的饭桌一定缺不了“中秋四宝”：芋艿、毛豆、老鸭汤和月饼！其中芋艿是不少人的最爱，老底子的中秋，阿爸姆妈煮的芋艿，咬一口又粉又甜，沾点糖简直就是童年最好吃的东西。说起来，秋吃芋艿好处还不少呢~。为什么中
1549580757# #趣味测试|哪只动物最搞笑？测测你的幽默指数有多高~。幽默是一种智慧，经多次心理测验证实，幽默感测试成绩较高的人，往往智商测验成绩也较高，而缺少幽默感的人其测试成绩平平，有的甚至明显缺乏应变能力。那么你的幽默智慧如何呢？下图4种动物中，你觉得哪一种动物比较搞笑？凭直觉做出选择，测测你
1627445732# #癞蛤蟆与老鼠🐭
1535062381# #别再用这种方式刷牙了！这样刷牙会“刷掉”牙齿！。错误的刷牙习惯有哪些？。冷水刷牙。冷水会导致牙本质敏感的人牙齿酸痛，且不利于牙膏内有效物质发挥活性。。牙刷大小不合适。牙刷太大，在口腔内转动不够灵活，无法清洁后面的牙齿。。硬毛牙刷伤牙龈。硬毛牙刷会导致牙龈出血、牙龈损伤，甚至牙龈萎缩。。总
1574565068# #上海科技馆
