1698541152# #有梦想的人了不起
1702698713# #网曝地铁车厢内一男子孰若无人的观看淫秽视频。。拍摄者：被工作人员拉出去后交给了警察，公共场合观看淫秽视频，大家怎么看？
1698676944# #媒体批“小杨哥们”低俗带货赢了流量输了底线在追求热度的路上越走越远
1695826504# #华晨宇演唱会穿婚纱音乐人就好好把音乐作品创作演唱好，搞这些么得屁眼另类的事那维莱特那维莱特那维莱特
1700202170# #“您认识这位年轻人吗？”拜登举起手机，请习近平主席看了一张照片
1699770292# #超拉风！东北大学生组队穿军大衣，这保暖效果杠杠滴！当事人：不是羽绒服买不起，是军大衣更有性价比。
1687344809# #川大地铁事件涉事学生被留校留党察看一个专业过硬未来新闻掌舵人，一个没文化不懂网络的老实人，诬陷的成本是否过低……
1696591569# #【鸿星尔克辟谣代工芯片】鸿星尔克官方微博发表声明，澄清网传华为麒麟芯片是由鸿星尔克代工生产的谣言。声明中指出：“我们目前专注于生产衣服、鞋子等产品，并未涉足半导体行业，因此没有能力为华为代工芯片。我们呼吁广大网友不要相信谣言，不要传播谣言。”
1687679593# #床头充电器自燃吓坏父母，“孩子正在熟睡中如果引起大火”后果不可收拾
1703237374# #一件好事，做了24年，73岁奶奶为孤寡老人免费理发24年，给106岁寿星免费理发16年，为老人点赞！
1686908744# #妈妈感觉到危险，第一时间想保护孩子。
1692682372# #场面真壮观，这是不是暴走团啊？
1688455956# #转发微博
1698627699# #延安身边事子长市陕西先和实业有限公司如此操作污染环境谁给的权利！。。&nbsp;&nbsp;&nbsp;&nbsp;有网友爆料称：陕西子长市有一企业违规排放，并且附有照片。那么到底是怎么回事，还需要相关部门出来予以解释。。。&nbsp;&nbsp;&nbsp;&nbsp;陕西先和实业有限公司如此排放实则让人想不通，如此排放是否合规？2023年10月25日，在陕西先和实
1700204358# #女儿和爸爸一起出门买东西，爸爸开车到了门口，顺手给保安大叔递了支烟为人处事
1692681816# #大哥很淡定的点了一根烟，这才是高空作业汗
1702030322# #【物业酒后砸门收费，冲突中业主女儿断手筋？业主最新发声】
1687181395# #胡锡进川大那名女生的事该有结果了连老胡这个老好人都来催了，川大该有所行动了，顺便提醒下，10天了挖鼻挖鼻挖鼻
1702561177# #【专家评董明珠怒斥孟羽童：专家称所有工作的本质就是赚工资】专家建议董明珠礼贤下士13日，董明珠在格力大学生入职仪式上怒斥孟羽童“借平台当网红”，并劝诫大学生“钱不是梦想”“钱不重要”。经济学家盘和林接受中国网财经采访时指出，所有工作的本质就是赚工资，这不是现在年轻人才有的，
1693802936# #【大学生有多会晒被子】又到开学季近日，河北，大学生秀出晒被子新招式，有的学生拿出遮阳伞，将被子放在伞上面，完美解决了没有地方晒被子的情况。网友：真是好方法，学到了！
1700048335# #转发微博
1698062075# #转发微博
1698673591# #妻子在家带娃生闷气，丈夫回家用最霸气的方式让她消气
1687142022# #为什么年轻人结婚意愿越来越低？2022年，全国结婚登记量为683.3万对，相比上年减少了80.3万对，下降率约10.5％，将创历史新低。
1687170111# #不作为乱作为
1703146741# #【长春环卫工人衣服被质疑不保暖】12月20日，据百姓关注报道，吉林省长春市。长春环卫工人衣服被质疑太薄不保暖:全是腈纶棉.还透光。
1696584656# #“白金汗血宝马”凡刷到的人都能“马到成功”！
1687085763# #男子车厢里大声接打电话，旁人制止不成引起公愤，男子一直在讲他几百万生意，几百万很多吗？社会新闻
1687230875# #小孩骑车下长楼梯，不出意外的话就意外了…
1700928840# #转发微博
1701325909# #疑似交警执法持棍暴力击倒过路电动车，警方：正在调查
1700928794# #转发微博
1699889523# #八段锦形成于12世纪，动作简单易行，功效显著。古人把这套动作比喻为锦，意为动作舒展柔和，如锦缎般优美、柔顺，又因包含八个动作，故名为八段锦。
1692451289# #某男子在高铁车厢内抽烟，不仅不听劝甚至还挑衅警察，结局很舒心！
1692512447# #【起底中国好声音背后母公司】近日，李玟生前控诉中国好声音录音曝光，引发网友热议。《中国好声音》背后究竟是家怎样的公司？来盘点星空华文的三点解读，戳↓多位明星曝中国好声音内幕
1700270304# #转发微博
1686989218# #【真·乘风破浪！陕西安康70名中考生乘船去考试】6月16日，陕西安康紫阳县各部门多方联合，使用旅游快艇以及新型画舫接送中考学子。这已经是学校连续14年通过水路运送中考学子，截至今年，已有1300余名中考学子通过这种方式顺利参加中考。
1687349526# #转发微博
1694357561# #转发微博
1694672703# #郑强校长视察军训，走路步伐潇洒霸气，网友：他应该是唯一一所学生见了不叫校长好，领导好而是叫一声强哥好的学校了郑强教授
1695909563# #【许家印因涉嫌违法犯罪已被采取强制措施】许家印已被依法采取强制措施中国恒大（3333.HK）9月28日晚间公告称，公司接到有关部门通知，公司执行董事及董事会主席许家印因涉嫌违法犯罪，已被依法采取强制措施。公告还称，公司的股份自2023年9月28日上午9时正起于联交所停止买卖。公司股份将继续暂
1695892621# #【多名网友称国庆提前出行遇拥堵：有人自驾9小时未出广东省，有人在高架上奔跑赶车】女子国庆提前出行自驾9小时没出省中秋国庆假期将至，不少市民选择提前一两天出行。近日，不少网友发帖称，错峰出行也遇到不同程度的堵车。9月28日，谭女士称，自己9月27日晚10点从广州自驾前往湖南，但路上十分
1696744678# #【女子举报执法局男友让自己被小三】近日，海南保亭，一女子发文，举报保亭综合行政执法局大队长谢某在与自己三年恋爱期间，出轨后又与他人领结婚证。之后，谢某仍与其保持恋爱关系，导致自己“被小三”。10月7日，保亭纪委监委回应，已关注到网上反映的谢某生活作风问题，正在核查。
1700461691# #今天高兴坏了，要不是有水泥路挡着能铲完，争取早点做村里最富的人……
1700897855# #转发微博
1702431430# #我这后驱的奔驰下雪连地库都进不去奔驰地库近在咫尺却远在千里笑cry笑cry笑cry
1700325425# #关注
1698480717# #深圳欢乐谷事故4人在ICU救治正式通报：10月27日，深圳欢乐谷过山车“雪域雄鹰”项目发生车辆碰撞，已造成8人受伤，目前已送往医院治疗，情况平稳，均无生命危险。。。都进ICU了，还无生命危险？汗汗汗
1687511320# #旅游公司董事长开私家车到自家景区被拒，将大门强拆“管到我头上来了”
1687086222# #外卖员公园遇保安起冲突外卖员：凭啥不让进啊！我不是公民啊……
1701918174# #这下手太狠了
1687756910# #如果高考大家都用统一的试卷会发生什么很多人都觉得现在的高考不公平，呼吁高考实行全国统一卷，这个看法是可以作为教育的最高奋斗目标，但是现阶段是绝对不能实现的，因为这里涉及的不仅是教育的问题，还有社会分工、社会保障、生活水平、生活环境等诸多方面。
1699368282# #大爷强行要求小伙让座，大爷拒绝道谢，一旁小哥出绝招“阴阳暴击”回怼。
1697423142# #【山西一5A级景区公厕污水直排河流，官方回应：成立工作专班调查】10月13日，网友“猴大腕”发视频曝光山西5A级景区八泉峡景区厕所污水直接排进河道，并流向下游林州，引发热议。10月14日，山西壶关县文化和旅游局回应称，已第一时间成立工作专班，组织力量进驻景区开展调查核实，调查结果将及时向社
1698677209# #年租金2万开了3家店，4个闺蜜亲手打造梦想中的生活！闺蜜生活
1698482641# #港
1687063517# #狗不栓绳被车压死了，用赔偿吗？
1687361732# #转发微博
1700897888# #转发微博
1686895653# #6月16日，湖南株洲交警遇骑车男子冲卡将其推下斜坡？官方回应：纪委已介入调查。关注社会热点事件
1702802480# #转发微博
1699677641# #著名经济学家痛批当下大学教育内卷考研
1698158313# #转发微博
1700476454# #爸爸在哪儿那就是家，好感人
1695992312# #【男子狂揍妻子被孩子录下全过程】9月28日，在安徽阜阳。杨女士称自己遭遇丈夫家暴，还被赶出家门，杨女士称她与丈夫都是二婚，在一起8年，生育了两个孩子，视频是7岁大女儿所拍摄。视频中男子当孩子面揪头发狂揍妻子，妻子称起因是想给女儿买一辆带蓬的车，民警回应：双方互殴，起诉离婚。
1698563605# #婚礼现场只有寥寥几个人，新郎是孤儿比新娘大10岁家境不好，新娘没要一份彩礼却笑的很开心结婚
1698538171# #闺女没找家，父亲着急往家领。网友：茅子也收了，女儿也嫁出去了
1701851584# #两个老家伙哭的像孩子一样，他们这一生从没因为小事吵过架，红过脸，突然分开让两位老人接受不了
1699929217# #好人一生平安一心向善，祝老板娘生意兴隆钱途无量，传递正能量传递正能量
1686902896# #这才是祖国的未来明日的巨星，学习的榜样，请善待她太优秀了！
1699368483# #“她不收啊，给我吧”两年前郑州街头的一句安慰话语，成就了一份美好的姻缘。网友：我又相信爱情了
1695647730# #粉丝投稿：大家都是在公共区域放鞋，不明白邻居大姐是要干什么？
1698506261# #初来人间，你哭了！我们笑了一个生命的诞生过程！生命诞生的过程顺产
1692451942# #小小年纪就这样明辨是非，给大人们上了一课。
1702524450# #辽宁沈阳著名电视台主持人打车遇司机提醒:“距离不远可坐地铁”。主持人当场投诉司机拒载！。目前这位主持人已发视频道歉！大家感觉是诱导性拒载还是主持人太武断了？？
1687157413# #牛气冲天
1700326334# #可怜天下父母心！女孩早恋被发现，父亲宾馆门口大发雷霆，“我是你爹，还能坑你害你啊”
1693798716# #【送送小天使！8岁女孩离世捐角膜遗体泪】近日，湖南长沙8岁女孩紫轩因病去世。妈妈忍痛捐献她的角膜和遗体，让她成为一名“大体老师”。妈妈说，希望此举能让女儿短暂的生命更有意义。女儿成大体老师后她也签下捐献书：“我也想和女儿一样成为一名‘大体老师’。如果我的器官能帮到别人，我也愿
1702030285# #🙏祝福过往君子买彩票都能如意发财哈🙏
1698922829# #朋友过生日送上不一般的“礼物”，不是鲜花礼品送不起，而是“肉米盐纸”更有性价比
1692514377# #生病父亲吸氧打麻将，女子：曾经父亲只要我们开心就好，现在我们只要他开心就好。
1687094963# #女子在高铁站自拍，身后大爷找了一圈才找到合适的位置坐下。
1699597575# #妹妹上学快迟到还赖床撒娇,哥哥偷偷拨通了她班主任电话
1700928869# #去哪儿了
1698571696# #老人疑因生病不想拖累家人跳楼物业回应：住1楼，他跑到8楼跳下去的
1699689789# #学校回应保安当学生面打死流浪狗：流浪狗追师生半个月行为欠妥但是为了安全考虑流浪狗
1703153178# #转发微博
1701658448# #甘肃火车上一男子趁其他乘客睡觉时，将别人4斤橘子偷吃剩下3个。大哥：吃可以，你说一声啊！
1693015277# #童年不仅承载着珍贵的回忆，也是作家们的灵感源泉，听听莫言、余华、苏童追忆似水年华，畅聊故乡童年之趣……故乡与童年是一个人永远的精神家园。
1687308983# #这些人为何如此横？！
1686984208# #为什么不能秉承实事求是的精神？
1695790990# #新婚不同房第二天搬回娘家，彩礼到手立马离婚分财产，新娘：你去起诉我啊
1700325756# #懂了
1697177711# #正能量【辽宁新闻：关爱非洲留学生：风雨同舟，我们在一起】辽宁石油化工大学目前在校留学生有374人，其中来自非洲留学生占比90.3%。为了给留学生提供一些平价的食品，学校给予（食品）经营者一定的补贴。由于疫情期间进行线上授课，留学生电量消耗得比较大，学校也给留学生的电费进行了补贴。。给
1700201715# #女生：爷爷你说公主请回学校大爷：我干保安的还得兼职干太监
1703917382# #西安限号第二天，地铁站内人挤人，让限号的专家来看看什么是以人为本！
1687620643# #俄罗斯对瓦格纳组织创始人刑事立案除了车臣之外，乌干达表示，要出兵俄罗斯救普京惊讶
1692451140# #女子遛狗吓到小孩，随即两女人当街扭打一起，孩子试图劝说两位冲动的女性。对于出门遛狗不牵绳的行为，大家怎么看？
1699688569# #幼儿园拔河比赛，老师原本打算“放水”。没想到被小朋友们瞬间碾压。（来源：中国青年报）
1698763343# #女生晒出大学时期背诵一幕，男生站在老师身后举着书，其实老师尽力装作看不见了
1700557295# #搞笑！检察院为了文明奖，请求法院判有罪。福清检察院郑小波检察长不正是陈夏影冤案的公诉人吗？允悲
1703122834# #国难当头，中华儿女万众一心支援甘肃，众志成城着实让人感动，热泪盈眶，国人骨子里的团结拳头拳头拳头甘肃地震
1694014391# #警方回应小伙疑因付不起房租杀害房东【街道办回应小伙疑因房租杀害房东：行凶者已自首】9月6日报道，浙江台州。9月4日，一网友发布视频称：“几天前，我父亲被一名17岁租客残忍杀害”，父亲好心收留，借钱让他吃饭找工作，“他付不起280元租金就持刀行凶”。9月6日，椒江区前所街道办工作人员称，
1692887597# #和阎王爷喝酒呢笑cry
1690770949# #转发微博
1694847986# #转发微博
1703581647# #【董明珠称矿井空调让矿工从裸体上班到穿西装】在12月25日播出的央视财经论坛中，董明珠表示格力电器开发矿井空调用了1.7亿元资金，研发成功。但矿井空调用量少，她认为目前来说不可能把研发投入赚回来，矿井空调的价值是让矿工从高温环境下裸体上班到穿上西装。奥克斯诉格力侵权获赔5849万
1696589683# #太美了
1701675994# #五月天团队上海演唱会陷“假唱门”？律师：若五月天假唱属实粉丝可要求退票
1697190812# #转发微博
1700359084# #女学生剪头发卖钱，提前说好了怎么剪结果女子往上剪了好多，女孩拿着自己的头发和女子理论，网友：偏服小女孩勇气
1699668111# #“共享”娃娃成为新风尚？记者实地探访“成人体验馆”，发现线下陪玩“蹭”出圈，擦边服务“超乎想象”。
1698571520# #你觉得哪个年代的穿搭好看？认为70年代好看的已经50岁了，认为80年代好看的已经40岁了……
1700201894# #传菜员也要求硕士学历？？学历逼格这么高了吗？？？
1687350047# #转发微博
