1691455439# #涨知识good
1694682001# #网友投稿：前边的特斯拉两次绿灯不走，视频车被逼无奈右侧超车，结果撞上了隔离墩。。。费解蜀黍说安全
1692800360# #现实版的“你瞅啥？瞅你咋地！”允悲蜀黍说安全
1695634201# #夫妻霸道停车，后车教他做人。费解蜀黍说安全
1696392412# #这届亚运会充满了青春朝气，不愧是新一代年轻人赞赞赞
1698921000# #行人穿深色衣服横穿马路，被小车直接撞飞。谁的责任？衰蜀黍说安全
1701831601# #摩托车闯红灯被撞飞，交警认定其负事故的全部责任。你支持交警的判罚吗？衰蜀黍说安全
1696753800# #理想L9是和大车撞上了吧？任何小车在大车面前都不堪一击……晕蜀黍说安全
1690977602# #7月26日，山西忻州，在一处干枯的河道内，一位老人带着自己的牧羊犬，正在赶着几十头大肥羊悠闲的在河道里走着。突然，在干枯河道的上游毫无征兆的流下洪水，混浊的河水夹杂着各种杂物以肉眼可见的速度向下游牧羊老人袭来，而此时，老人正走在河道中央，他对身后袭来的洪水全然不知，仍旧在不紧不慢的
1695364201# #骑车过马路没有下车推行被撞飞，你觉得骑车人有责任吗？衰蜀黍说安全
1702609098# #允悲
1703255400# #网友投稿：重庆城市快速路上，我无故遭到宝马SUV恶意别车，此前无交集，宝马车多次恶意变道别车、急刹车、期间竖中指挑衅，最终造成事故。大家觉得，宝马别车是否属于危险驾驶？汗蜀黍说安全天蝎座认定的事决不放弃冬至
1692086401# #网友投稿：各位家长一定要看好自家孩子，别等出事了后悔就来不及了！费解蜀黍说安全
1693382400# #网友投稿：在小区地库不小心蹭到了一台停车越线的保时捷718，保险赔他喷车漆，那50多岁老头找我要5000元的车辆折旧费，胡搅蛮缠，非常不讲理，不给钱不让走。最后写了协议，赔了3500元给他，就当消灾了……这钱赔的冤吗？允悲蜀黍说安全如果你年纪轻轻的就不懂得约束自己
1694268002# #越野车错过出口随意变道，大货车让速不让道将其撞飞。你认为大货车有责任吗？费解蜀黍说安全
1696987800# #出租车正常在路上行驶，学生骑车飞速蹿上马路。交警认定，学生承担事故全部责任。衰蜀黍说安全
1704198600# #女子抱孩子坐地铁没人给让座，大家都装作低头族不让座。网友：不提倡道德绑架，但传统美德不能丢…汗蜀黍说安全
1703129400# #【女网红就涉甘肃地震言论道歉并捐款为地震灾区捐款5200元汗】12月21日凌晨，拥有300多万粉丝的女网红“董事轩”道歉，并为地震灾区捐款5200元。此前，她在直播时称“甘肃地震离我这儿800公里远，跟我有什么关系吗”，引发争议。甘肃地震已致135人遇难
1697112002# #男童奔跑过马路被撞飞，交警认定：司机未在斑马线前减速避让行人，负事故的主要责任，行人负事故的次要责任。衰蜀黍说安全
1696579202# #【少年挂21楼外辅警徒手连凿11拳救下好样的赞】9月29日，辽宁鞍山。凌晨3点，一18岁男孩从22楼跳下轻生，挂在21楼空调外挂机处。情况紧急，辅警孟金龙德用拳头连凿11拳，凿断防盗护栏成功将男孩救下。事后发现，孟金龙德两根手指骨折，手掌骨裂。正能量蜀黍说安全
1698748202# #如果你是司机，你能避免事故的发生吗？衰蜀黍说安全
1698622201# #15岁女孩违规载人闯红灯撞上小车，交警：该谁的责任就谁的责任，闯红灯没什么好说的！全责！为不和稀泥的交警点赞赞蜀黍说安全你支持禁止老头乐吗
1695603601# #又菜又爱玩，摩托车弯道逆行，小车司机招谁惹谁了？！汗蜀黍说安全
1698218214# #接这条：
1696593603# #网友：危险nm，我游戏里都不敢这么开。衰蜀黍说安全中秋国庆假期国内8.26亿人次出游
1695570950# #夫妻爬泰山将孩子独留车内4小时自己去爬泰山，怎么能把孩子独自放在车里啊？幸亏现在是秋天，天气不怎么热了，否则后果不堪设想。。。费解蜀黍说安全
1690035300# #【太惨了！广东女子骑车遇开门杀抢救无效身亡】广东中山，小轿车开门杀致骑车女子头部倒地造成颅脑损伤，最终抢救无效身亡。司机要掌握二次开车门法，开车门前一定要观察周围情况，骑车人一定要戴好头盔。衰蜀黍说安全
1694440800# #危险的高速六公里，百吨大货车刹车失灵，小货车顶停百吨大货车…。后面是重车，一旦车祸，不敢设想，前车师傅不仅救了后车师傅，还救了路上的过往车辆，为见义勇为的前车司机师傅点赞good蜀黍说安全
1696734001# #可怕！这泥头车是刹车失灵了吗？哆啦A梦害怕蜀黍说安全
1696926601# #同一个位置，不同的事故，吓醒同一只狗狗～狗狗：我睡个觉容易吗？doge哈哈蜀黍说安全
1692921600# #外地游客不知道钱塘江潮水的凶险，竟然在潮水来临时，到危险区域近距离拍潮，幸亏好心人及时呼喊提醒！good蜀黍说安全
1695884455# #一名4岁男孩悬在阳台外，摇摇欲坠，路过的22岁小伙看到后，徒手攀爬外墙至四楼，成功救下小孩，整个过程仅30秒！赞救人瞬间中国正能量蜀黍说安全超话
1694835001# #网友：前几天的珠江新城，原来车船税真不是白缴的。允悲蜀黍说安全
1691334001# #车比命值钱？！水已经没过半个车轮，女子却坐在车上不愿下来，一群消防战士怎么劝都没用。费解蜀黍说安全
1697083201# #可真刑，这车主是疯了吗？汗一件事证明你消费降级了蜀黍说安全
1700276401# #交警查酒驾时，奥迪司机竟然猛踩油门逃跑。费解蜀黍说安全
1689741517# #疏忽大意不关尾门，司机这回摊上大事了。🙏蜀黍说安全超话
1696060800# #不要命了？小车快车道上突然停车，副驾男子打开车门欲下车，好在视频车反应迅速。费解蜀黍说安全
1696768200# #强行插队未成功还恐吓，咋就这么牛呢？费解蜀黍说安全高速
1701266400# #看得好揪心，世上还是好人多，很温暖心赞正能量
1689926402# #网友投稿：新能源版“大G”，代步车越做越邪乎了。你支持取消代步车吗？费解蜀黍说安全
1688297401# #网友投稿：最后的结局我没想到……哆啦A梦害怕蜀黍说安全
1691794800# #九张动图警示你：“鬼探头”有多可怕？90%的司机不会正确应对……费解蜀黍说安全安全出行涨姿势
1695305350# #婚闹拿灭火器狂喷伴娘，这些人也太缺德了吧！汗汗汗
1690814282# #【小调查：你一年去多少次电影院？费解】去年杭州影院“闭店潮”汹涌。刘敏健逆势而为，砸1600万开了一家影院。去年砸1600万开影院的男子怎样了他说，去年7月影院开张后，有很多质疑声甚至嘲讽。今年春节档后，三四月依旧惨淡，直到端午节在《消失的她》带动下，电影市场才算真正走出阴霾。
1699269600# #女子在马拉松场外当众脚踢警察叫嚣：你们能怎么办？费解。。东阳横店马拉松比赛期间，女子想骑电动车横穿赛道被民警阻止，没想到女子情绪激动，先用电动车冲撞民警，被制止后又用脚踹民警腿部。目前，该女子已被采取刑事强制措施。
1692792002# #网友投稿：马路上的健步暴走团，直接无视信号灯横行霸道～万一来辆超载大货车可太危险了费解蜀黍说安全
1698730200# #网友投稿：这么宽的车位停不进去，这是怎么拿到驾照的？允悲蜀黍说安全
1687779001# #网友投稿：男子高速停车看路导致三车追尾，驾驶员狡辩：我没停，跟我没关系。最终交警认定，男子承担事故全部责任。衰蜀黍说安全
1693292400# #网友投稿：又菜又爱玩，开斗气车结果把自己给撞了。。。费解蜀黍说安全
1698802200# #【奥迪40秒变道4次致旁车撞绿化带衰】10月30日海口，奥迪车短短40秒内变道4次，旁边车辆避让不及，撞上绿化带，事发后奥迪车扬长而去。网友：“视频车司机太年轻，既然你有视频，就应该在自己的道上让速不让道。”“支持车主报警，车主没错”，这事故谁的责任？汗退款11月你好
1693837118# #驾照考试科目一考考你：如图所示，在这条车道行驶的最低车速是多少？费解蜀黍说安全
1697977801# #跨车道盲目转弯，只听“砰砰”两声...黑线黑线蜀黍说安全
1702882803# #大货车下坡时疑似刹车失灵，幸亏车厢没侧翻，这可太危险了汗蜀黍说安全十二星座一周运势
1694923202# #转弯未让直行，小车一头扎进货车底。交警认定：货车主责，小车次责。衰蜀黍说安全
1691626450# #玲珑瓷非遗技艺不仅要传承，更要宣传出去good
1691029457# #【驾校教练被曝猥亵女学员9分钟拍摄者：教练上手摸女孩也不敢吱声费解】近日，内蒙古呼和浩特，网友发视频称在科目三训练时，一50多岁驾校教练伸出咸猪手猥亵女学员长达9分钟。拍摄者杜先生表示，当时去熟悉考点，听到教练说女孩上次考试没过，也没让教练摸手摸腿，这次他就主动上手去摸了，女孩
1688130238# #码了慢慢看
1690538401# #无知者无畏！长下坡避险车道，家长竟然带着孩子在那玩沙子。费解蜀黍说安全
1701844201# #骑车走路一定远离大车…衰蜀黍说安全
1688098905# #驾照考试科目一考考你：下图交通标志是何含义？费解
1692934200# #日本核污水动画模拟排海流向～思考思考日本本州东海岸远海地震日本核污染水排海民众忍无可忍日本核污染水排海4000天后海洋啥样
1694347542# #小孩被大意父亲碾压，起来后急忙说：爸爸不要怪我……孩子为什么会这样说？费解蜀黍说安全
1701049255# #你觉得这小车司机是故意的吗？黑线蜀黍说安全
1699414201# #网友：十次事故八次有龟速狗，龟速黑车最后还跑了？汗蜀黍说安全
1696759200# #10月3日，重庆。一位四川女孩来重庆旅游时，遇到突发心梗的陌生男子，作为专业医护人员的她赶紧将随身的包垫在膝下，跪地进行抢救。该男子抢救后已被送医，目前病情已经稳定。你救人的样子很美！赞赞赞正能量蜀黍说安全
1692228600# #网友投稿：电动车肆无忌惮闯红灯，看到最后终于放心了允悲蜀黍说安全
1699399802# #骑车闯红灯被撞飞，下次还敢吗？衰蜀黍说安全
1695961800# #小车故意连续点刹造成追尾，司机因寻衅滋事被警方刑事拘留。good蜀黍说安全高速中秋节
1702281600# #近日，男子骑摩托车遭城管“开门杀”倒在宾利车上，交警认定摩托车方主责引发热议。对此交警回应：系谣言，现场没有进行责任认定，系三方自行协商。黑线蜀黍说安全本周狗屎运最旺的星座
1689904801# #堵车遇上大聪明，轿车这种做法你支持吗？费解蜀黍说安全
1689220802# #网友投稿：视频车也是经验不足，右侧汽车已经减速了，你还往前冲呢？费解蜀黍说安全
1703404801# #网友：半挂车一把方向救了两个家庭赞赞赞蜀黍说安全你一共经历了7434次精神内耗平安夜
1696822201# #特斯拉车系统，被泰国人整不会了……到了印度，不是更懵圈？允悲不开心可能是你在长脑子蜀黍说安全
1696685401# #网友投稿：10月6日，女子摸陌生狗狗，脸部遭撕咬，当场倒地痛苦哀嚎，这是谁的责任？衰遛狗请拴绳
1694488988# #驾照考试科目一考考你：对驾驶已达到报废标准的机动车上路行驶的驾驶人，会受到下列哪种处罚？费解微博宠粉季蜀黍说安全
1703028601# #男子在高速上发现前车有奇怪现象，应急车道上停车后帮其拨打120，“生活哪有容易二字”，“愿好人一生平安”！！！good正能量蜀黍说安全
1694917620# #工人不小心把漆桶掉在路上，旁边车被溅了一身。车主还没回来，师傅们抓紧时间努力挽救。允悲允悲允悲蜀黍说安全
1696032000# #请别吝啬你们手中的赞，他才是中国最璀璨的“明星”赞赞赞。。黄旭华，1926年出生，广东汕尾人。核潜艇之父，中国工程院院士。核潜艇总设计师，感动中国十大人物之一，共和国勋章获得者。他在中国历史上堪称奇迹，他没有拥有普通人的幸福，也不曾感受过家庭的幸福，正是因为有这样默默付出、舍弃小
1689315749# #网友投稿：这人咋想的，非要往大货车盲区凑。你觉得这事故大货司机有责任吗？衰衰蜀黍说安全
1692622800# #网友投稿：幸好视频车及时躲开了，不然就倒霉了！你认为如果压到了视频车有责任吗？哆啦A梦害怕蜀黍说安全周一
1696258800# #中国地理评出一生最值得去的20个地方，你打卡了多少个？doge国庆节人人人人人我人人人人人
1695082453# #涨姿势good
1704114000# #竟然还能救回来……费解蜀黍说安全
1699950600# #新能源车高速上开没电，4个人推车进入服务区。车主：我看表显够的啊！汗。。交警对其不按规定设置警告标志的违法行为处以罚款200元记3分，同时对车上乘客未迅速转移到右侧路肩上或者应急车道内的违法行为处以罚款50元。蜀黍说安全
1693382100# #把从医三十多年的手术日记留给后辈，是一种寄托，更是一种传承good
1699054201# #宝马司机无视斑马线还闯红灯，这车开得真是醉了。如果撞上电动车，电动车会有责任吗？费解蜀黍说安全
1693281602# #【冲动是魔鬼！男子不满他人乱停车用漆喷涂获刑】前段时间，北京的王某在小区内，发现几辆私家车没有停在车位上，他觉得很生气，因为自己的车曾经被其他人的车位挡住。为了教训这些乱停车的车主，王某给4辆车喷涂了黑色自喷漆。王某的行为构成寻衅滋事罪，被判处有期徒刑6个月，缓刑1年。
1692358218# #小姐姐无意中做了一件大好事儿good
1698456720# #弯道超车，咋想的？！&nbsp;也有网友认为，视频车光按喇叭不刹车避让也有责任，你怎么看？费解蜀黍说安全
